uwwState,rptMStateKey,uwwCode,uwwName,uwwLatitude,uwwLongitude,uwwLoadEnteringUWWTP,uwwCapacity,version,year
active,UK,UKNI_TP00096,Creagh,54.759,-6.512,2046,4400,7,2016
active,UK,UKNI_TP00095,Portaferry,54.3917,-5.536,3801,5287,7,2016
active,UK,UKNI_TP00094,Killinchy,54.473,-5.684,4100,2271,7,2016
active,UK,UKNI_TP00093,Kesh,54.523,-7.725,2678,3000,7,2016
active,UK,UKNI_TP00091,Hilltown,54.1985,-6.135,2025,2389,7,2016
active,UK,UKNI_TP00090,Glenavy,54.5895,-6.225,2112,2500,7,2016
active,UK,UKNI_TP00089,Garvagh,54.992,-6.678,2773,3214,7,2016
active,UK,UKNI_TP00087,"Dromore, Tyrone",54.531,-7.435,2032,2000,7,2016
active,UK,UKNI_TP00006,Ballynacor,54.472,-6.411,119267,130887,7,2016
active,UK,UKNI_TP00086,Annesborough,54.2615,-5.92,5876,6334,7,2016
active,UK,UKNI_TP00085,North Down & Ards,54.648,-5.563,66533,104000,7,2016
active,UK,UKNI_TP00084,Portglenone,54.8765,-6.4815,3476,4045,7,2016
active,UK,UKNI_TP00083,North Coast,55.19,-6.676,77432,107400,7,2016
active,UK,UKNI_TP00082,Drumaness,54.3676,-5.848,2420,2651,7,2016
active,UK,UKNI_TP00081,Donneybrewer,55.0385,-7.198,5372,7888,7,2016
active,UK,UKNI_TP00080,Claudy,54.911,-7.147,2722,3409,7,2016
active,UK,UKNI_TP00079,Warrenpoint,54.111,-6.273,14894,16195,7,2016
active,UK,UKNI_TP00078,Waringstown,54.433,-6.289,7230,7500,7,2016
active,UK,UKNI_TP00077,Strabane,54.838,-7.467,20129,38000,7,2016
active,UK,UKNI_TP00076,Sion Mills,54.79,-7.469,3544,4950,7,2016
active,UK,UKNI_TP00074,Saintfield,54.4628,-5.824,5048,5637,7,2016
active,UK,UKNI_TP00073,Richhill,54.383,-6.541,2691,4914,7,2016
active,UK,UKNI_TP00072,Rathfriland,54.23,-6.174,3977,4000,7,2016
active,UK,UKNI_TP00068,Omagh,54.638,-6.175,36173,47000,7,2016
active,UK,UKNI_TP00067,Newtownstewart,54.7205,-7.3805,2169,4320,7,2016
active,UK,UKNI_TP00066,Newtownbreda,54.562,-5.927,40019,44375,7,2016
active,UK,UKNI_TP00065,Ballyrickard,54.56,-5.699,41768,49908,7,2016
active,UK,UKNI_TP00064,Whitehouse (Newtownabbey),54.651,-5.915,88079,100000,7,2016
active,UK,UKNI_TP00063,Newry,54.16,-6.332,59655,115000,7,2016
active,UK,UKNI_TP00062,Newcastle,54.196,-5.883,16236,20000,7,2016
active,UK,UKNI_TP00061,Moy,54.45,-6.683,3117,3300,7,2016
active,UK,UKNI_TP00060,Moneyreagh,54.53,-5.822,2383,2150,7,2016
active,UK,UKNI_TP00059,Moneymore,54.687,-6.662,2826,2810,7,2016
active,UK,UKNI_TP00058,Moira,54.48,-6.208,5144,8855,7,2016
active,UK,UKNI_TP00057,Markethill,54.297,-6.507,2510,2600,7,2016
active,UK,UKWAWA_WW_TP000002,LLANFOIST SEWAGE TREATMENT WORKS ME STW,51.8136089,-3.019440429,17816,17816,7,2016
active,UK,UKWAWA_WW_TP000083,LLANGEFNI STW,53.24575861,-4.301251597,20171,26883,7,2016
active,UK,UKWAWA_WW_TP000044,LLANGENNECH WASTE WATER TREATMENT STW,51.68935393,-4.07428809,5141,5141,7,2016
active,UK,UKWAWA_WW_TP000098,LLANGOLLEN STW,52.97344861,-3.142078478,3766,3766,7,2016
active,UK,UKENMI_ST_TP000133,LLANIDLOES STW,52.45600043,-3.502085428,3319,3500,7,2016
inactive,UK,UKWAWA_WW_TP000071,LLANINA WWTW STW,52.20883801,-4.337460143,7903,6608,7,2016
active,UK,UKWAWA_WW_TP000090,LLANLLYFNI C STW,53.04300534,-4.296951894,4119,4231,7,2016
active,UK,UKWAWA_WW_TP000052,LLANMADOC WWTW BRITANIA INN LLANMAD STW,51.61723713,-4.245095088,1981,2034,7,2016
active,UK,UKWAWA_WW_TP000048,LLANNANT WWTW LLANNANT ROAD SWANSEA STW,51.67963277,-4.0600004,13136,14617,7,2016
active,UK,UKWAWA_WW_TP000081,LLANRUG WWTW STW,53.15449179,-4.198516304,3455,3455,7,2016
active,UK,UKWAWA_WW_TP000079,LLANRWST STW LLLANWRST CONWY STW,53.13985384,-3.80336824,4014,4072,7,2016
active,UK,UKWAWA_WW_TP000065,LLANYBYDDER WWTW CEREDIGION STW,52.0678591,-4.164626365,2038,2038,7,2016
active,UK,UKWAWA_WW_TP000088,MACHYNLLETH STW STW,52.59114507,-3.857768249,3262,3262,7,2016
active,UK,UKWAWA_WW_TP000069,MAESTEG   STW,51.58207491,-3.620722573,21005,23529,7,2016
active,UK,UKWAWA_WW_TP000011,MERTHYR TYDFIL   STW,51.6273914,-3.321105924,74367,84328,7,2016
active,UK,UKWAWA_WW_TP000058,MILFORD HAVEN STW,51.71727868,-5.042105921,14904,15823,7,2016
active,UK,UKWAWA_WW_TP000105,MOLD STW,53.16048217,-3.128267967,21987,21987,7,2016
active,UK,UKWAWA_WW_TP000028,MONMOUTH STW STW,51.80347379,-2.703102926,12341,13112,7,2016
active,UK,UKWAWA_WW_TP000125,MOSTYN STW,53.31128222,-3.246959078,4722,4722,7,2016
active,UK,UKWAWA_WW_TP000072,NARBERTH WES STW,51.79424642,-4.752317778,2582,3668,7,2016
active,UK,UKWAWA_WW_TP000006,NEWPORT STW,51.5488995,-2.961865457,304036,304036,7,2016
active,UK,UKENMI_ST_TP000161,NEWTOWN STW,52.52406887,-3.276232712,15718,17000,7,2016
active,UK,UKWAWA_WW_TP000062,NEYLAND WWTW NEYLAND PEMBROKESHIRE STW,51.7097629,-4.957155184,4372,4372,7,2016
active,UK,UKWAWA_WW_TP000012,NORTH ELY VALLEY   STW,51.55470887,-3.404044413,13572,13572,7,2016
active,UK,UKWAWA_WW_TP000046,PEMBREY WASTEWATER TREATMENT WORKS STW,51.67636987,-4.293684586,2269,2269,7,2016
active,UK,UKWAWA_WW_TP000075,PEMBROKE STW,51.6949219,-4.958980087,18730,18889,7,2016
active,UK,UKWAWA_WW_TP000126,PENRHYNDEUDRAETH STW,52.92620353,-4.058009996,2215,2215,7,2016
active,UK,UKWAWA_WW_TP000005,PONTHIR STW,51.62806784,-2.966587783,99651,113199,7,2016
active,UK,UKWAWA_WW_TP000051,PONTYATES WWTW PONTYATES LLANELLI STW,51.75608616,-4.215216867,2824,2955,7,2016
active,UK,UKWAWA_WW_TP000050,PONTYBEREM WWTW PONTYBEREM CARMS STW,51.77667878,-4.183535872,10225,10436,7,2016
active,UK,UKWAWA_WW_TP000078,PORT TALBOT AND NEATH   STW,51.5716231,-3.78980491,136129,146616,7,2016
active,UK,UKWAWA_WW_TP000127,PORTHMADOG STW,52.92995011,-4.122524681,5020,5769,7,2016
active,UK,UKNI_TP00056,Maghera,54.839,-6.67,6576,7169,7,2016
active,UK,UKNI_TP00055,Maghaberry,54.501,-6.173,4225,4960,7,2016
active,UK,UKNI_TP00054,Culmore,55.052,-7.256,130648,150075,7,2016
active,UK,UKNI_TP00053,Lisnaskea,54.254,-7.449,6380,7000,7,2016
active,UK,UKNI_TP00052,New Holland,54.52,-6.019,70447,80000,7,2016
active,UK,UKNI_TP00051,Limavady,55.056,-6.946,17029,20490,7,2016
active,UK,UKNI_TP00050,Larne,54.848,-6.946,23531,33000,7,2016
active,UK,UKNI_TP00049,Kilrea,54.957,-6.546,2510,3000,7,2016
active,UK,UKNI_TP00048,Killyleagh,54.4,-5.645,7226,20000,7,2016
active,UK,UKNI_TP00047,Kilkeel,54.063,-5.997,12738,16000,7,2016
active,UK,UKNI_TP00046,Keady,54.253,-6.696,4563,5800,7,2016
active,UK,UKNI_TP00045,Irvinestown,54.47,-7.625,2674,3549,7,2016
active,UK,UKNI_TP00043,Gilford,54.374,-6.371,2447,3262,7,2016
active,UK,UKNI_TP00042,Fivemiletown,54.375,-7.312,2128,2647,7,2016
active,UK,UKNI_TP00039,Dunmurry,54.543,-5.997,53605,62479,7,2016
active,UK,UKNI_TP00038,Dungiven,54.932,-6.93,4744,5742,7,2016
active,UK,UKNI_TP00036,Dromore,54.415,-6.162,7365,8685,7,2016
active,UK,UKNI_TP00035,Draperstown,54.799,-6.787,3275,3296,7,2016
active,UK,UKNI_TP00034,Downpatrick,54.334,-5.723,17539,27775,7,2016
active,UK,UKNI_TP00031,Crossmaglen (Liscalgot),54.072,-6.575,2908,3800,7,2016
active,UK,UKNI_TP00029,Coalisland,54.531,-6.693,10131,14511,7,2016
active,UK,UKNI_TP00027,Castlederg,54.707,-7.577,3915,4750,7,2016
active,UK,UKNI_TP00026,Carrickfergus,54.725,-5.778,32902,35330,7,2016
active,UK,UKNI_TP00025,Bushmills,55.211,-6.527,5539,8862,7,2016
active,UK,UKNI_TP00023,Belfast,54.622,-5.909,365177,300000,7,2016
active,UK,UKNI_TP00021,Ballynahinch,54.396,-5.884,8097,6000,7,2016
active,UK,UKNI_TP00040,Kinnegar,54.634,-5.853,76886,110000,7,2016
active,UK,UKNI_TP00020,Ballymoney (Glenstall),55.049,-6.567,21561,40650,7,2016
active,UK,UKNI_TP00018,Ballykelly,55.049,-7.021,3662,7840,7,2016
active,UK,UKNI_TP00017,Ballygowan,54.502,-5.786,3372,3000,7,2016
active,UK,UKNI_TP00016,Ballycastle,55.202,-6.238,11174,10140,7,2016
active,UK,UKNI_TP00014,Ballymena (Tullaghgarley),54.84,-6.304,113825,150000,7,2016
active,UK,UKNI_TP00013,Tandragee,54.349,-6.404,14185,19300,7,2016
active,UK,UKNI_TP00011,Moygashel,54.484,-6.745,76976,78826,7,2016
active,UK,UKNI_TP00010,Magherafelt (Killyneese),54.76,-6.571,16046,18000,7,2016
active,UK,UKNI_TP00088,Enniskillen,54.358,-7.666,25978,30652,7,2016
active,UK,UKNI_TP00008,Cookstown,54.632,-6.737,19762,45000,7,2016
active,UK,UKNI_TP00004,Ballyclare,54.742,-6.009,16576,26450,7,2016
active,UK,UKNI_TP00003,Banbridge,54.357,-6.28,22411,40000,7,2016
active,UK,UKNI_TP00002,Armagh,54.365,-6.657,17861,20632,7,2016
active,UK,UKNI_TP00001,Antrim (Milltown),54.731,-6.242,66228,80624,7,2016
active,UK,UKGIB_TP00001,Gibraltar Collecting System,,,55973,,7,2016
active,UK,UKSC_TP00220,AIRTH WWTW,56.07334,-3.763977,1648,2475,7,2016
active,UK,UKSC_TP00219,LOCH RYAN WWTW,54.92194,-5.07777,12799,15047,7,2016
active,UK,UKSC_TP00218,BLACKRIDGE WWTW,55.89028,-3.74441,2218,1867,7,2016
active,UK,UKSC_TP00217,ALNESS & INVERGORDON WWTW,57.69106,-4.22457,12726,22000,7,2016
active,UK,UKSC_TP00216,CASTLE DOUGLAS S.T.W.,54.93953,-3.93863,4848,7367,7,2016
active,UK,UKSC_TP00215,TYNDRUM,56.43389,-4.70955,491,2650,7,2016
active,UK,UKSC_TP00214,COLDSTREAM,55.6641,-2.22602,2383,1917,7,2016
active,UK,UKSC_TP00213,DUNBAR (SOUTH) STW,55.99201,-2.57259,27072,22600,7,2016
active,UK,UKSC_TP00212,STRATHBLANE STW,55.99213,-4.33155,1794,2183,7,2016
inactive,UK,UKSC_TP00211,SPEAN BRIDGE/ROYBRIDGE WwTW,56.89403,-4.90136,1099,2510,7,2016
active,UK,UKSC_TP00210,"SLAMANNAN, WwTW",55.94209,-3.83255,1612,1933,7,2016
active,UK,UKSC_TP00209,"PLEAN, WwTW",56.06217,-3.86185,1913,3050,7,2016
active,UK,UKSC_TP00208,NEWTONMORE WWTP,57.06774,-4.10567,1949,2249,7,2016
active,UK,UKSC_TP00207,NEWPORT & TAYPORT STW,56.4492,-2.87869,8053,9230,7,2016
active,UK,UKSC_TP00206,MUIRKIRK S.T.W.,55.51321,-4.09656,1868,5000,7,2016
active,UK,UKSC_TP00205,"MILNATHORT, WwTW",56.22099,-3.40623,1876,4000,7,2016
active,UK,UKSC_TP00204,LETHAM WTP,56.62935,-2.7557,1851,2750,7,2016
active,UK,UKSC_TP00203,"KILLEARN, WwTW",56.02946,-4.38141,4056,3200,7,2016
active,UK,UKSC_TP00202,HARTHILL S.T.W.,55.86469,-3.74778,3970,6500,7,2016
active,UK,UKSC_TP00201,FASLANE STW,56.06182,-4.81717,3500,3500,7,2016
active,UK,UKSC_TP00200,DRUMNADROCHIT WWTP,57.33205,-4.46615,1724,2250,7,2016
active,UK,UKSC_TP00199,BLACKFORD WWTW,56.26296,-3.78559,1706,2419,7,2016
active,UK,UKSC_TP00198,BANCHORY STW,57.05328,-2.47879,8735,9700,7,2016
inactive,UK,UKSC_TP00197,AVOCH WWTW,57.553,-4.17687,1480,2000,7,2016
active,UK,UKSC_TP00196,WINCHBURGH WWTW,55.95465,-3.45549,3811,3300,7,2016
active,UK,UKSC_TP00195,WICK WWTW,58.44254,-3.06016,8956,10344,7,2016
active,UK,UKSC_TP00194,WHITBURN   WWTW,55.87105,-3.6818,13082,12933,7,2016
active,UK,UKSC_TP00192,WALKERBURN WWTW,55.62681,-3.00198,4382,4200,7,2016
active,UK,UKSC_TP00191,VALLEYFIELD WWTW,56.04651,-3.59357,8580,8000,7,2016
active,UK,UKSC_TP00190,UNDERWOOD   S.T.W.,55.45717,-4.28049,22982,17897,7,2016
active,UK,UKSC_TP00189,TURRIFF WWTP,57.54191,-2.4765,9158,7300,7,2016
active,UK,UKSC_TP00188,TROQUEER S.T.W.,55.05445,-3.6127,48499,46228,7,2016
active,UK,UKSC_TP00187,TILLICOULTRY WWTW,56.14892,-3.74552,6644,7500,7,2016
active,UK,UKSC_TP00186,THURSO STW,58.60471,-3.49722,10883,9974,7,2016
active,UK,UKSC_TP00185,TAY PFI - HATTON WWTW,56.52624,-2.64671,246663,250433,7,2016
active,UK,UKSC_TP00184,TAIN WWTP,57.81764,-4.05802,5076,5000,7,2016
active,UK,UKSC_TP00183,SWINSTIE S.T.W.,55.79638,-3.90557,11301,20000,7,2016
active,UK,UKSC_TP00182,STRATHPEFFER WWTP,57.59231,-4.52598,1528,3000,7,2016
active,UK,UKSC_TP00181,STRATHAVEN S.T.W.,55.67467,-4.05729,7765,7927,7,2016
active,UK,UKSC_TP00179,STORNOWAY HOLM WWTP,58.19145,-6.34967,12498,30000,7,2016
active,UK,UKSC_TP00178,STONEHOUSE S.T.W.,55.7016,-3.96823,5191,5527,7,2016
active,UK,UKSC_TP00176,STIRLING WWTW,56.11857,-3.91852,74532,80000,7,2016
active,UK,UKSC_TP00175,STEWARTON S.T.W.,55.67214,-4.53274,6888,8500,7,2016
active,UK,UKSC_TP00174,STEVENSTON W.W.T.SERVICE,55.62594,-4.74179,84450,132783,7,2016
active,UK,UKSC_TP00173,ST ANDREWS WWTW,56.33129,-2.77845,21364,35000,7,2016
active,UK,UKSC_TP00172,SPRINGFIELD WWTW,56.29369,-3.05476,7896,8000,7,2016
active,UK,UKSC_TP00171,SOUTHERNESS STW,54.88116,-3.58158,3227,3227,7,2016
active,UK,UKSC_TP00170,SOUTH QUEENSFERRY WWTW,55.9925,-3.4164,8348,11250,7,2016
active,UK,UKSC_TP00169,SKELLYTON S.T.W.,55.74634,-3.95926,16042,19350,7,2016
active,UK,UKSC_TP00168,SHOTTS S.T.W.,55.81419,-3.8114,10160,12500,7,2016
active,UK,UKSC_TP00167,SHIELDHALL S.T.W.,55.86745,-4.34081,555185,574000,7,2016
active,UK,UKSC_TP00166,SELKIRK WWTW,55.55994,-2.8339,7034,25000,7,2016
active,UK,UKSC_TP00165,SCONE WWTP,56.41159,-3.43047,4992,6575,7,2016
active,UK,UKSC_TP00164,SANQUHAR S.T.W.,55.36007,-3.92354,2314,3000,7,2016
active,UK,UKSC_TP00163,"ROVAHEAD WWTW, LERWICK",60.18434,-1.15673,10865,15500,7,2016
active,UK,UKSC_TP00161,PLAINS S.T.W.,55.87542,-3.92419,5675,5849,7,2016
active,UK,UKSC_TP00160,PITLOCHRY WWTP,56.69798,-3.72369,5322,11650,7,2016
active,UK,UKSC_TP00159,PHILIPSHILL S.T.W.,55.77741,-4.23033,63687,67590,7,2016
active,UK,UKSC_TP00158,PETERHEAD - BURNHAVEN WWTP,57.48753,-1.78949,35841,136667,7,2016
active,UK,UKSC_TP00157,PERTH CITY WWTP,56.38316,-3.38527,112339,95000,7,2016
active,UK,UKSC_TP00156,PERSLEY WWTP,57.17852,-2.15496,48244,61667,7,2016
active,UK,UKSC_TP00155,PENICUIK WWTW,55.83571,-3.20423,12563,10567,7,2016
active,UK,UKSC_TP00154,PEEBLES WWTW,55.64703,-3.16133,9664,8500,7,2016
active,UK,UKSC_TP00153,PATNA S.T.W.,55.38045,-4.50432,2199,6200,7,2016
active,UK,UKSC_TP00152,ORMISTON WWTW,55.91089,-2.92632,2750,2300,7,2016
active,UK,UKSC_TP00151,OLDMELDRUM WWTP,57.33377,-2.34066,3341,3500,7,2016
active,UK,UKSC_TP00150,OBAN S.T.W.,56.42631,-5.46056,13082,26600,7,2016
active,UK,UKSC_TP00149,NIGG WWTW- ABERDEEN PFI,57.13219,-2.06146,284663,425000,7,2016
active,UK,UKSC_TP00148,NEWTOWN ST BOSWELL WWTW,55.57801,-2.66495,1886,2033,7,2016
active,UK,UKSC_TP00147,NEWTON STEWART STW,54.94918,-4.46568,4972,8966,7,2016
active,UK,UKSC_TP00145,NEWMACHAR WWTP,57.25728,-2.17836,3169,3640,7,2016
active,UK,UKSC_TP00144,NEWBURGH WWTW,56.35425,-3.23325,2594,3000,7,2016
active,UK,UKSC_TP00143,NEWBRIDGE WWTW,55.94394,-3.39964,28212,76133,7,2016
active,UK,UKSC_TP00142,NEW CUMNOCK S.T.W.,55.40041,-4.17734,3810,6800,7,2016
active,UK,UKSC_TP00141,NEILSTON S.T.W.,55.78995,-4.42705,5879,6500,7,2016
active,UK,UKSC_TP00140,NAIRN WWTP,57.59305,-3.84764,14450,12200,7,2016
active,UK,UKSC_TP00139,MUIR OF ORD NEW STW,57.50263,-4.41486,4409,5493,7,2016
active,UK,UKSC_TP00138,"MORAY WEST, LOSSIEMOUTH,  STW",57.6998,-3.2581,44314,43117,7,2016
active,UK,UKSC_TP00137,MORAY EAST WWTW MORAY PFI,57.67703,-2.943,20658,35650,7,2016
active,UK,UKSC_TP00136,MONTROSE WWTP,56.73352,-2.45273,18872,42000,7,2016
active,UK,UKSC_TP00135,MOFFAT S.T.W.,55.32532,-3.43408,3138,5000,7,2016
active,UK,UKSC_TP00134,MINTLAW WWTP,57.51415,-2.00003,3537,6300,7,2016
active,UK,UKSC_TP00133,MELROSE WWTW,55.60277,-2.71392,3862,3600,7,2016
active,UK,UKSC_TP00132,MEADOWHEAD W.W.T. SERVICE,55.58788,-4.63858,324154,313333,7,2016
active,UK,UKSC_TP00131,MAYBOLE S.T.W.,55.34346,-4.66553,4858,6300,7,2016
active,UK,UKSC_TP00130,MAULDSLIE   S.T.W.,55.73095,-3.90058,20275,24800,7,2016
active,UK,UKSC_TP00129,MAUCHLINE S.T.W.,55.49942,-4.39009,4130,6000,7,2016
active,UK,UKSC_TP00128,LOCKERBIE S.T.W.,55.11984,-3.37244,4855,5200,7,2016
active,UK,UKSC_TP00127,LOCHWINNOCH S.T.W.,55.79465,-4.62348,2476,5763,7,2016
active,UK,UKSC_TP00126,LOCHMABEN S.T.W.,55.1189,-3.40326,2003,6500,7,2016
active,UK,UKSC_TP00125,LIVINGSTON WWTW,55.88478,-3.55973,8796,7500,7,2016
active,UK,UKSC_TP00123,LINLITHGOW WWTW,55.98377,-3.62585,14075,16500,7,2016
active,UK,UKSC_TP00122,LINCLUDEN S.T.W.,55.08595,-3.62598,8342,12500,7,2016
active,UK,UKSC_TP00121,"LEVEN VALLEY, LEVENMOUTH WWTW",56.19198,-3.01267,175771,433333,7,2016
active,UK,UKSC_TP00120,LESMAHAGOW S.T.W.,55.64655,-3.88312,7649,3690,7,2016
active,UK,UKSC_TP00119,LAURENCEKIRK WWTP,56.83918,-2.4833,4415,6598,7,2016
active,UK,UKSC_TP00118,LARGS S.T.W.,55.82088,-4.88403,13819,11883,7,2016
active,UK,UKSC_TP00117,LANGHOLM S.T.W.,55.14572,-2.99285,2866,4881,7,2016
active,UK,UKSC_TP00116,LANARK S.T.W.,55.67401,-3.79576,12305,14340,7,2016
active,UK,UKSC_TP00115,LAIGHPARK   S.T.W.,55.86389,-4.41927,119687,240000,7,2016
active,UK,UKSC_TP00114,KIRRIEMUIR WWTP,56.65977,-2.99978,7555,7812,7,2016
active,UK,UKSC_TP00113,KIRKWALL HEAD OF WORK WWTP,59.00731,-2.91568,12102,15600,7,2016
active,UK,UKSC_TP00112,KIRKCONNEL S.T.W.,55.38187,-3.97556,4928,5236,7,2016
active,UK,UKSC_TP00111,KIRKCALDY WWTW,56.11809,-3.14831,62921,73000,7,2016
active,UK,UKSC_TP00110,KINROSS WWTW,56.21157,-3.41073,5401,5700,7,2016
active,UK,UKSC_TP00109,KINNEIL KERSE WWTW,56.0117,-3.66935,48887,55900,7,2016
active,UK,UKSC_TP00107,KINGUSSIE WWTP,57.07931,-4.04564,2090,3148,7,2016
active,UK,UKSC_TP00106,KINCARDINE WWTW,56.06469,-3.7198,3411,4200,7,2016
active,UK,UKSC_TP00105,KEMNAY WWTP,57.24508,-2.44511,3768,5670,7,2016
active,UK,UKSC_TP00104,KELSO WWTW,55.60429,-2.42058,8136,9300,7,2016
active,UK,UKSC_TP00103,KEITH WWTP,57.55365,-2.94743,7369,13760,7,2016
active,UK,UKSC_TP00101,JEDBURGH WWTW,55.49509,-2.54365,4619,4852,7,2016
active,UK,UKSC_TP00100,IRON MILL BAY WWTW,56.04226,-3.50906,19884,30000,7,2016
inactive,UK,UKSC_TP00099,INVERURIE WWTP,57.27328,-2.36433,0,0,7,2016
active,UK,UKSC_TP00098,INVERURIE NEW WWTP,57.27328,-2.3675,24884,33500,7,2016
active,UK,UKSC_TP00096,INVERCLYDE W.W.T. SERVICE,55.93605,-4.87868,87756,121700,7,2016
active,UK,UKSC_TP00095,INSCH   WWTP,57.34031,-2.59761,2824,3500,7,2016
active,UK,UKSC_TP00094,HUNTLY WWTW,57.45101,-2.77704,6538,5500,7,2016
active,UK,UKSC_TP00093,HELENSBURGH   S.T.W.,55.98347,-4.69298,12630,19500,7,2016
active,UK,UKSC_TP00092,HAWICK WWTW,55.43156,-2.77133,18849,28000,7,2016
active,UK,UKSC_TP00091,HAMILTON S.T.W.,55.79439,-4.05468,63352,63106,7,2016
active,UK,UKSC_TP00090,HADDINGTON WWTW,55.96044,-2.75174,10400,14000,7,2016
active,UK,UKSC_TP00089,GUARDBRIDGE WWTW,56.3674,-2.88919,4906,5265,7,2016
active,UK,UKSC_TP00088,GRETNA S.T.W.,54.98824,-3.08139,8190,6000,7,2016
active,UK,UKSC_TP00087,GRANTOWN ON SPEY WWTP,57.32244,-3.61282,3981,6599,7,2016
active,UK,UKSC_TP00086,GOREBRIDGE WWTW,55.84009,-3.05531,4043,5126,7,2016
active,UK,UKSC_TP00085,GLENEAGLES STW,56.27982,-3.72833,3500,3500,7,2016
active,UK,UKSC_TP00084,GIRVAN S.T.W.,55.26102,-4.84906,15669,20250,7,2016
active,UK,UKSC_TP00083,GALASHIELS WWTW,55.60661,-2.77468,32221,25000,7,2016
active,UK,UKSC_TP00082,FRASERBURGH WWTW- ABERDEEN PFI,57.69087,-2.04895,25944,96667,7,2016
active,UK,UKSC_TP00081,FORTH S.T.W.,55.76154,-3.67941,2445,3500,7,2016
active,UK,UKSC_TP00080,FORT WILLIAM NEW WWTP,56.82839,-5.10111,16284,23500,7,2016
active,UK,UKSC_TP00079,FORRES WWTP,57.61541,-3.61104,15918,18000,7,2016
active,UK,UKSC_TP00078,FORFAR NEW WWTP,56.64134,-2.90993,20349,30000,7,2016
active,UK,UKSC_TP00077,FOCHABERS WWTP,57.62433,-3.10167,3218,3500,7,2016
active,UK,UKSC_TP00076,FAULDHOUSE WWTW,55.82404,-3.69179,5382,4874,7,2016
active,UK,UKSC_TP00075,FALLIN WWTW,56.10885,-3.87405,2632,3000,7,2016
active,UK,UKSC_TP00073,EVANTON WWTP,57.66078,-4.32633,1242,2534,7,2016
active,UK,UKSC_TP00072,ERSKINE S.T.W.,55.89218,-4.41237,78496,114600,7,2016
active,UK,UKSC_TP00071,ELLON WWTP,57.36462,-2.0569,11625,15000,7,2016
active,UK,UKSC_TP00070,"EDINBURGH, SEAFIELD WWTW",55.97062,-3.14232,757099,752367,7,2016
active,UK,UKSC_TP00069,EASTRIGGS S.T.W.,54.9744,-3.18262,1992,2325,7,2016
active,UK,UKSC_TP00068,EAST CALDER WWTW,55.89832,-3.47348,119298,95000,7,2016
