"rcaID","rptMStateKey","rcaState","rcaCode","rcaName","rcaType","rcaSensitiveArea","rcaDateArt58","rcaParameterN","rcaParameterP","rcaParameterOther","rcaDateDesignation","rcaANitro","rcaAPhos","rcaB","rcaC","rcaCRelevantDirective","rcaMorphology","rcaHydrologie","rcaHydraulic","rcaAbsenceRisk","rcaDateArt54","rcaArt54Applied"
22,"BG",106,"BGCSARI04","Catchement of Iskar river",101,8,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
23,"BG",106,"BGCSARI05","Catchement of Kamtchia river",101,9,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
24,"BG",106,"BGCSARI06","Catchement of Maritza river",101,10,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
25,"BG",106,"BGCSARI07","Catchement of Ogosta river",101,11,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
26,"BG",106,"BGCSARI08","Catchement of Osam river",101,12,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
27,"BG",106,"BGCSARI09","Catchement of Provadijska i Devnenska river",101,13,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
28,"BG",106,"BGCSARI10","Catchement of Rusenski Lom river",101,14,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
29,"BG",106,"BGCSARI11","Catchement of Struma river",101,15,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
30,"BG",106,"BGCSARI12","Catchement of Tundja river",101,16,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
31,"BG",106,"BGCSACL13","Catchement of Black Sea coastal line",101,17,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
32,"BG",106,"BGCSARI14","Catchement of Yantra river",101,18,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
33,"CY",106,"CY SA_CM2","Catchment of Kokkinochoria",98,34,,False,False,False,27/02/2004,True,False,False,True,"The relevant Directive is the Nitrate Directive (96/676/EEC). The relevant parameter is Nitrogen. The kokkinochoria area has been designated as NVZ in 2004 (Ministerial Decree 42/2004 and 186/2008). The WWTP effluent is reused for irrigation in the Kokkinochoria area.",False,False,False,False,,False
34,"CY",106,"CY SA-CL1","Kokkinochoria coastline",101,,,False,False,False,27/02/2004,True,False,False,True,"The relevant Directive is the Nitrate Directive (96/676/EEC). The related parameter is Nitrogen. The Kokkinochoria area has been designated as a NVZ in 2004 (Ministerial Decree 42/2004 and 186/2008). The WWTP effluent is reused for irrigation in the Kokkinochoria region.  ",False,False,False,False,,False
35,"CY",106,"CY SA-CM1","Catchment of Polemidia",98,36,,False,False,False,27/02/2004,True,True,False,False,"",False,False,False,False,,False
36,"CY",106,"CY SA-LK1","Polemidia dam",101,,,False,False,False,27/02/2004,True,True,False,False,"",False,False,False,False,,False
37,"DK",106,"DK2","Denmark",97,,31/12/1993,True,True,True,31/12/1998,False,False,False,False,"We do not distinguish between sensitive and less sensitive areas i DK. All areas are considered as sensitive and therefor the standards given in the legislation holds standards for all WWTP regardless of placement (but depending on size.The UWWT directive was implemented in april 1994 in Demark. The implementation relied partly on exsisting legislation and on a new act ""Regulation an water water permmissions etc..."". Regarding the effluent standards there was a possiblity to be granted an exemption untill december 1998 in the act.",False,False,False,False,,False
38,"EE",106,"EE10","Estonia",97,,01/05/2004,True,True,False,01/05/2004,False,False,False,False,"",False,False,False,False,,False
40,"FI",106,"FI1","FINLAND",97,,01/01/1994,True,True,False,01/01/1994,False,False,False,False,"",False,False,False,False,,False
41,"GR",106,"GRSARV05","ERYTHROPOTAMOS TRIBUTARY",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
42,"GR",106,"GRSARV04","EVROS RIVER",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
43,"GR",106,"GRSARV20","AGGITIS TRIBUTARY",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
44,"GR",106,"GRSARV22","DYTIKOS PARAPOTAMOS TRIBUTARY",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
45,"GR",106,"GRSARV13","STRYMONAS RIVER",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
46,"GR",106,"GRSACA05","THESSALONIKI GULF",101,,,False,False,False,03/04/2002,True,False,False,False,"",False,False,False,False,,False
47,"GR",106,"GRSARV17","GREVENITIS TRIBUTARY",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
48,"GR",106,"GRSARV11","SAKOULEVAS RIVER",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
49,"GR",106,"GRSARV12","SOULOU RIVER",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
50,"GR",106,"GRSARV02","ARACTHOS RIVER",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
51,"GR",106,"GRSACA03","LEFKADA STRAIGHT",101,,,False,False,False,29/09/1999,True,False,False,False,"",False,False,False,False,,False
52,"GR",106,"GRSACA06","INNER SARONIC GULF",101,,,False,False,False,03/04/2002,True,False,False,False,"",False,False,False,False,,False
53,"GR",106,"GRSACA02","ELEFSINA GULF",101,,,False,False,False,29/09/1999,True,False,False,False,"",False,False,False,False,,False
54,"GR",106,"GRSARV01","ACHELOOS RIVER",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
55,"GR",106,"GRSATW03","MESSOLOGHI AITOLIKO COASTAL LAGOON",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
56,"GR",106,"GRSARV07","KARPENISSIOTIS RIVER",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
57,"GR",106,"GRSARV15","ERKYNA TRIBUTARY",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
58,"GR",106,"GRSALK01","MITRIKOU (ISMARIDA) LAKE",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
59,"GR",106,"GRSALK02","PETRON LAKE",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
60,"GR",106,"GRSALK04","LAGADA (KORONIA) LAKE",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
61,"GR",106,"GRSALK03","VOLVI LAKE",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
62,"GR",106,"GRSATW01","EVROS DELTA",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
63,"GR",106,"GRSATW02","ACHELOOS DELTA",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
64,"GR",106,"GRSATW04","VISTONIDA LAKE",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
65,"GR",106,"GRSACA04","AMVRAKIKOS GULF",101,,,False,False,False,29/09/1999,True,False,False,False,"",False,False,False,False,,False
66,"GR",106,"GRSACA01","THESSALONIKI BAY",101,,,False,False,False,29/09/1999,True,False,False,False,"",False,False,False,False,,False
67,"GR",106,"GRSARV21","CHRISSOROIS TRIBUTARY",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
68,"GR",106,"GRSARV06","KALAMITIS RIVER",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
69,"GR",106,"GRSARV14","VIOTIKOS KIFISSOS RIVER",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
70,"GR",106,"GRSARV08","KOMPSATOS RIVER",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
71,"GR",106,"GRSARV09","KOSINTHOS RIVER",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
72,"GR",106,"GRSARV10","LOUROS RIVER",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
73,"GR",106,"GRSARV16","MELANAS TRIBUTARY",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
74,"GR",106,"GRSARV03","METSOVITIKOS TRIBUTARY",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
75,"GR",106,"GRSARV18","PORROIA TRIBUTARY",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
76,"GR",106,"GRSARV19","VARDAROVASSIS TRIBUTARY",101,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
77,"GR",106,"GRSALK05","MARATHONA RESERVOIR",101,,,False,False,False,29/09/1999,False,False,True,False,"",False,False,False,False,,False
78,"GR",106,"GRSALK06","YLIKI LAKE",101,,,False,False,False,29/09/1999,False,False,True,False,"",False,False,False,False,,False
79,"GR",106,"GRSALK07","PARALIMNI LAKE",101,,,False,False,False,29/09/1999,False,False,True,False,"",False,False,False,False,,False
80,"GR",106,"GRSALK08","MORNOU RESERVOIR",101,,,False,False,False,29/09/1999,False,False,True,False,"",False,False,False,False,,False
81,"GR",106,"GRSARV23","LAKA S.",101,,,False,False,False,29/09/1999,False,False,True,False,"",False,False,False,False,,False
82,"GR",106,"GRSARV24","MORNOS R. 1",101,,,False,False,False,29/09/1999,False,False,True,False,"",False,False,False,False,,False
83,"GR",106,"GRSARV25","BELESITSA S.",101,,,False,False,False,29/09/1999,False,False,True,False,"",False,False,False,False,,False
84,"GR",106,"GRSARV26","GRANITSORREMA",101,,,False,False,False,29/09/1999,False,False,True,False,"",False,False,False,False,,False
85,"GR",106,"GRSARV27","KOKKINOS S.",101,,,False,False,False,29/09/1999,False,False,True,False,"",False,False,False,False,,False
86,"GR",106,"GRSARV28","PALIOMIAOULI S.",101,,,False,False,False,29/09/1999,False,False,True,False,"",False,False,False,False,,False
87,"GR",106,"GRCSA32","EVROS",98,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
88,"GR",106,"GRCSA01","MORNOS",98,80,,False,False,False,29/09/1999,False,False,True,False,"",False,False,False,False,,False
89,"GR",106,"GRCSA02","MESSOLOGHI",98,55,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
90,"GR",106,"GRCSA03","ACHELOOS",98,54,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
91,"GR",106,"GRCSA04","ACHELOOS",98,56,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
92,"GR",106,"GRCSA05","ARAPIS",98,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
93,"GR",106,"GRCSA06","XIROPOTAMOS",98,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
94,"GR",106,"GRCSA07","ARACTHOS",98,74,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
95,"GR",106,"GRCSA08","ARACTHOS",98,50,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
96,"GR",106,"GRCSA09","LOUROS",98,72,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
97,"GR",106,"GRCSA10","KALAMAS",98,68,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
98,"GR",106,"GRCSA11","R. KOMPOTIOU",98,65,,False,False,False,29/09/1999,True,False,False,False,"",False,False,False,False,,False
99,"GR",106,"GRCSA12","MARATHONAS",98,77,,False,False,False,29/09/1999,False,False,True,False,"",False,False,False,False,,False
100,"GR",106,"GRCSA13","KHFISSOS ATTIKHS",98,52,,False,False,False,03/04/2002,True,False,False,False,"",False,False,False,False,,False
101,"GR",106,"GRCSA14","SARANTAPOTAMOS",98,53,,False,False,False,29/09/1999,True,False,False,False,"",False,False,False,False,,False
102,"GR",106,"GRCSA15","VIOTIKOS KIFISOS",98,69,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
103,"GR",106,"GRCSA16","PARALIMNI",98,79,,False,False,False,29/09/1999,False,False,True,False,"",False,False,False,False,,False
104,"GR",106,"GRCSA17","PTOLEMAIDA",98,49,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
105,"GR",106,"GRCSA18","PTOLEMAIDA",98,59,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
106,"GR",106,"GRCSA19","ALIAKMONAS",98,47,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
107,"GR",106,"GRCSA20","AXIOS",98,48,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
108,"GR",106,"GRCSA21","LIMNES THESSALONIKIS",98,60,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
109,"GR",106,"GRCSA22","GALLIKOS",98,66,,False,False,False,29/09/1999,True,False,False,False,"",False,False,False,False,,False
110,"GR",106,"GRCSA23","ANTHEMOUS",98,46,,False,False,False,03/04/2002,True,False,False,False,"",False,False,False,False,,False
111,"GR",106,"GRCSA24","AXIOS",98,76,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
112,"GR",106,"GRCSA25","STRYMONAS",98,45,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
113,"GR",106,"GRCSA26","STRYMONAS",98,43,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
114,"GR",106,"GRCSA27","R. KOMOTINIS",98,44,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
115,"GR",106,"GRCSA28","R. XANTHIS",98,71,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
116,"GR",106,"GRCSA29","VISTONIDA",98,,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
117,"GR",106,"GRCSA30","R. KOMPSATOS",98,70,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
118,"GR",106,"GRCSA31","ASPROPOTAMOS",98,64,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
119,"GR",106,"GRCSA33","EVROS",98,41,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
120,"GR",106,"GRCSA34","EVROS",98,42,,False,False,False,29/09/1999,True,True,False,False,"",False,False,False,False,,False
121,"HU",106,"HU-NA-2007","Normal area of Hungary",100,,,False,False,False,31/12/2004,True,True,True,False,"",False,False,False,False,,False
122,"HU",106,"HU-SA-AIP517","Balaton és vízgyűjtője",101,,,False,False,False,31/12/2004,True,True,True,False,"",False,False,False,False,23/12/2000,False
123,"HU",106,"HU-SA-AIP520","Fertő-tó és vízgyűjtője",101,,,False,False,False,31/12/2004,True,True,True,False,"",False,False,False,False,23/12/2000,False
124,"HU",106,"HU-SA-AIP540","Velencei-tó és vízgyűjtője",101,,,False,False,False,31/12/2004,True,True,True,False,"",False,False,False,False,23/12/2000,False
125,"IE",106,"GBNIIECM_03_01","Blackwater River Monaghan",98,203,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
126,"IE",106,"GBNIIECM_06_01","Inner Dundalk Bay",98,221,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
127,"IE",106,"GBNIIECM_06_02","Castletown Estuary",98,160,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
128,"IE",106,"GBNIIECM_06_03","Castletown River",98,192,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
129,"IE",106,"GBNIIECM_06_04","Lough Muckno",98,212,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
130,"IE",106,"GBNIIECM_06_05","River Proules Lower",98,210,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
131,"IE",106,"GBNIIECM_06_06","Lough Monalty",98,211,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
132,"IE",106,"GBNIIECM_06_07","River Proules Upper",98,209,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
133,"IE",106,"IECM_07_01","Boyne River",98,187,,False,False,False,14/12/1994,True,True,False,False,"",False,False,False,False,,False
134,"IE",106,"IERI_SE_2001_0016","Triogue (River)",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
135,"IE",106,"IETW_SW_2001_0032","Bandon Estuary Upper",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
136,"IE",106,"IETW_SH_2001_0034","Lee Estuary Upper (Tralee)",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
137,"IE",106,"IETW_SH_2001_0035","Feale Estuary Upper",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
138,"IE",106,"IETW_SH_2001_0036","Cashen / Feale Estuary",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
139,"IE",106,"IETW_SW_2001_0039","Blackwater Estuary Upper",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
140,"IE",106,"IETW_SW_2001_0040","Blackwater Estuary Lower",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
141,"IE",106,"IETW_SW_2004_0041","Lee Estuary / Lough Mahon",101,,,False,False,False,14/07/2004,True,True,False,False,"",False,False,False,False,,False
142,"IE",106,"IETW_SW_2004_0042","Owennacurra Estuary / North Channel",101,,,False,False,False,14/07/2004,True,True,False,False,"",False,False,False,False,,False
143,"IE",106,"IETW_EA_2001_0027b","Tolka Estuary",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
144,"IE",106,"IETW_SE_2001_0030a","Barrow Estuary Lower",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
145,"IE",106,"IETW_SE_2001_0031b","Middle Suir Estuary",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
146,"IE",106,"IECM_08_01","Broadmeadow Estuary",98,216,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
147,"IE",106,"IECM_09_01","Liffey Estuary",98,217,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
148,"IE",106,"IECM_09_02","Liffey River",98,194,,False,False,False,14/12/1994,True,True,False,False,"",False,False,False,False,,False
149,"IE",106,"IECM_09_03","Tolka Estuary",98,143,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
150,"IE",106,"IECM_12_01","Slaney Estuary Lower",98,219,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
151,"IE",106,"IECM_12_02","Slaney Estuary Upper",98,218,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
152,"IE",106,"IECM_14_01","Barrow Estuary Upper",98,220,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
153,"IE",106,"IECM_14_02","Barrow River",98,185,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
154,"IE",106,"IECM_14_03","Triogue River",98,134,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
155,"IE",106,"IECM_15_01","Barrow Estuary Lower",98,144,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
156,"IE",106,"IECM_15_02","Nore River",98,197,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
157,"IE",106,"IECM_16_01","Middle Suir Estuary",98,145,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
158,"IE",106,"IECM_16_02","Upper Suir Estuary",98,215,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
159,"IE",106,"IETW_SW_2001_0033","Bandon Estuary Lower",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
160,"IE",106,"GBNIIETW_NB_2001_0038a","Castletown Estuary",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
161,"IE",106,"IECM_16_03","Suir River Lower",98,199,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
162,"IE",106,"IECM_16_04","Suir River Upper",98,198,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
163,"IE",106,"IECM_18_01","Blackwater Estuary Lower Cork",98,140,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
164,"IE",106,"IECM_18_02","Blackwater Estuary Upper Cork",98,139,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
165,"IE",106,"IECM_18_03","Blackwater River Cork",98,186,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
166,"IE",106,"IECM_19_01","Lee Estuary / Lough Mahon",98,141,,False,False,False,14/07/2004,True,True,False,False,"",False,False,False,False,,False
167,"IE",106,"IECM_19_02","Owennacurra Estuary / North Channel",98,142,,False,False,False,14/07/2004,True,True,False,False,"",False,False,False,False,,False
168,"IE",106,"IECM_20_01","Bandon Estuary Lower",98,159,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
169,"IE",106,"IECM_20_02","Bandon Estuary Upper",98,135,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
170,"IE",106,"IECM_22_01","Lough Leane",98,205,,False,False,False,14/12/1994,True,True,False,False,"",False,False,False,False,,False
171,"IE",106,"IECM_23_01","Lee Estuary Upper",98,136,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
172,"IE",106,"IECM_23_02","Cashen / Feale Estuary",98,138,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
173,"IE",106,"IECM_23_03","Feale Estuary Upper",98,137,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
174,"IE",106,"IECM_25_01","Lough Derg",98,206,,False,False,False,14/12/1994,True,True,False,False,"",False,False,False,False,,False
175,"IE",106,"IECM_25_02","Nenagh River",98,196,,False,False,False,14/12/1994,True,True,False,False,"",False,False,False,False,,False
176,"IE",106,"IECM_25_03","Little Brosna River",98,195,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
177,"IE",106,"IECM_25_04","Tullamore River",98,201,,False,False,False,14/12/1994,True,True,False,False,"",False,False,False,False,,False
178,"IE",106,"IECM_25_05","Lough Ennell",98,213,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
179,"IE",106,"IECM_25_06","Brosna River",98,190,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
180,"IE",106,"IECM_26_01","Lough Ree",98,207,,False,False,False,14/12/1994,True,True,False,False,"",False,False,False,False,,False
181,"IE",106,"IECM_26_02","Hind River",98,193,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
182,"IE",106,"IECM_26_03","Camlin River",98,191,,False,False,False,14/12/1994,True,True,False,False,"",False,False,False,False,,False
183,"IE",106,"IECM_34_01","Clydagh River",98,202,,False,False,False,14/12/1994,True,True,False,False,"",False,False,False,False,,False
184,"IE",106,"IECM_34_02","Castlebar River",98,204,,False,False,False,14/12/1994,True,True,False,False,"",False,False,False,False,,False
185,"IE",106,"IERI_SE_2001_0015","Barrow (River)",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
186,"IE",106,"IERI_SW_2001_0022","Blackwater (River) Cork",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
187,"IE",106,"IERI_EA_1994_0001","Boyne (River)",101,,,False,False,False,14/12/1994,True,True,False,False,"",False,False,False,False,,False
188,"IE",106,"IEGBNICM_36_01","Lough Oughter",98,214,,False,False,False,14/12/1994,True,True,False,False,"",False,False,False,False,,False
189,"IE",106,"IEGBNICM_36_02","Cavan River",98,208,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
190,"IE",106,"IERI_SH_2001_0012","Brosna (River)",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
191,"IE",106,"IERI_SH_1994_0002","Camlin (River)",101,,,False,False,False,14/12/1994,True,True,False,False,"",False,False,False,False,,False
192,"IE",106,"GBNIIERI_NB_2001_0038","Castletown (River)",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
193,"IE",106,"IERI_SH_2001_0018","Hind (River)",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
194,"IE",106,"IERI_EA_1994_0004","Liffey (River)",101,,,False,False,False,14/12/1994,True,True,False,False,"",False,False,False,False,,False
195,"IE",106,"IERI_SH_2001_0021","Little Brosna (River)",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
196,"IE",106,"IERI_SH_1994_0005","Nenagh (River)",101,,,False,False,False,14/12/1994,True,True,False,False,"",False,False,False,False,,False
197,"IE",106,"IERI_SE_2001_0017","Nore (River)",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
198,"IE",106,"IERI_SE_2001_0019","Suir Upper (River)",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
199,"IE",106,"IERI_SE_2001_0020","Suir Lower (River)",101,,,False,False,False,13/06/2001,True,True,False,False,"",False,False,False,False,,False
