"aggID","aggState","repID","aggCode","aggName","aggInhabitantsConnectedIAS","aggInhabitantsWithoutTreatment","aggRemarks"
12340,106,498,"ROAG_128720_13","Teius",0,270,"NULL"
12341,106,498,"ROAG_125766","Barasti",0,1793,"NULL"
12342,106,498,"ROAG_126237","Colonesti",0,2072,"NULL"
12343,106,498,"ROAG_126335","Corbu",0,2458,"NULL"
12344,106,498,"ROAG_128383","Potcoava",0,2294,"NULL"
12345,106,498,"ROAG_128383_01","Potcoava Falcoeni",0,1043,"NULL"
12346,106,498,"ROAG_128383_02","Sinesti",0,953,"NULL"
12347,106,498,"ROAG_128383_03","Trufinesti",0,219,"NULL"
12348,106,498,"ROAG_128383_04","Valea Merilor",0,1061,"NULL"
12349,106,498,"ROAG_126415","Crampoia",0,3462,"NULL"
12350,106,498,"ROAG_127331","Icoana",0,1917,"NULL"
12351,106,498,"ROAG_127545","Mihaiesti",0,1678,"NULL"
12352,106,498,"ROAG_127698","Movileni",0,2537,"NULL"
12353,106,498,"ROAG_127723","Nicolae Titulescu ",0,1271,"NULL"
12354,106,498,"ROAG_127723_01","Ghimpeteni",0,1530,"NULL"
12355,106,498,"ROAG_127910","Optasi-Magura",0,1247,"NULL"
12356,106,498,"ROAG_127910_01","Sarbii Magura",0,1931,"NULL"
12357,106,498,"ROAG_128310","Poboru",0,2034,"NULL"
12358,106,498,"ROAG_128481","Radomiresti",0,2066,"NULL"
12359,106,498,"ROAG_128873","Seaca",0,1906,"NULL"
12360,106,498,"ROAG_129022","Spineni",0,1864,"NULL"
12361,106,498,"ROAG_129120","Stoicanesti",0,2638,"NULL"
12362,106,498,"ROAG_129512","Topana",0,991,"NULL"
12363,106,498,"ROAG_129594","Tufeni",0,3038,"NULL"
12364,106,498,"ROAG_129772","Valeni",0,2826,"NULL"
12365,106,498,"ROAG_179560","Voluntari",1035,37142,"NULL"
12366,106,498,"ROAG_179524","Pantelimon",0,16510,"NULL"
12367,106,498,"ROAG_179294","Chitila ",0,6547,"NULL"
12368,106,498,"ROAG_179230","Bragadiru",0,9681,"NULL"
12369,105,498,"ROAG_102222","Cornetu",0,4384,"NULL"
12370,106,498,"ROAG_102589","Domnesti",0,11656,"NULL"
12371,105,498,"ROAG_101966","Ciorogarla",0,4888,"NULL"
12372,106,498,"ROAG_179392","Jilava",0,8581,"NULL"
12373,106,498,"ROAG_179258","Chiajna",0,3367,"NULL"
12374,106,498,"ROAG_100585","Buftea",0,10546,"NULL"
12375,106,498,"ROAG_179542","Popesti Leordeni",0,5876,"NULL"
12376,106,498,"ROAG_179490","Otopeni",0,2620,"NULL"
12377,106,498,"ROAG_179490_01","Odaile",0,1014,"NULL"
12378,106,498,"ROAG_179418","Magurele",0,3918,"NULL"
12379,106,498,"ROAG_179418_01","Dumitrana",0,673,"NULL"
12380,106,498,"ROAG_179418_02","Pruni ",0,214,"NULL"
12381,106,498,"ROAG_105945","Vidra",0,8600,"NULL"
12382,106,498,"ROAG_101305","Branesti",0,5699,"NULL"
12383,106,498,"ROAG_101305_01","Pasarea",0,754,"NULL"
12384,106,498,"ROAG_101305_02","Islaz",0,1180,"NULL"
12385,106,498,"ROAG_101305_03","Vadul Anei",0,31,"NULL"
12386,106,498,"ROAG_179329","Dobroiesti",0,2870,"NULL"
12387,106,498,"ROAG_100843","Afumati",0,2617,"NULL"
12388,106,498,"ROAG_100843_01","Stefanestii de Sus",0,1990,"NULL"
12389,106,498,"ROAG_100843_02","Cretuleasca",0,304,"NULL"
12390,106,498,"ROAG_102552","I Decembrie",0,1965,"NULL"
12391,106,498,"ROAG_102552_01","Copaceni",0,3092,"NULL"
12392,106,498,"ROAG_179472","Mogosoaia",0,5970,"NULL"
12393,106,498,"ROAG_101154","Berceni",0,5942,"NULL"
12394,106,498,"ROAG_179356","Glina",0,3104,"NULL"
12395,106,498,"ROAG_179356_01","Catelu",0,2497,"NULL"
12396,106,498,"ROAG_179356_02","Manolache ",0,241,"NULL"
12397,106,498,"ROAG_105589","Tunari",0,4015,"NULL"
12398,106,498,"ROAG_102044","Clinceni",0,3963,"NULL"
12399,106,498,"ROAG_102044_01","Olteni",0,1095,"NULL"
12400,106,498,"ROAG_102044_02","Ordoreanu",0,77,"NULL"
12401,106,498,"ROAG_102534","Darasti",0,2829,"NULL"
12402,106,498,"ROAG_101751","Cernica",0,3463,"NULL"
12403,106,498,"ROAG_101751_01","Caldararu",0,1176,"NULL"
12404,106,498,"ROAG_105428","Stefanestii de Jos",0,2736,"NULL"
12405,106,498,"ROAG_103149","Ganeasa",0,599,"NULL"
12406,106,498,"ROAG_103149_01","Piteasca",0,1251,"NULL"
12407,106,498,"ROAG_103149_02","Cozieni",0,705,"NULL"
12408,106,498,"ROAG_103149_03","Sindrilita",0,1267,"NULL"
12409,106,498,"ROAG_103149_04","Moara Domneasca",0,606,"NULL"
12410,106,498,"ROAG_102614","Dragomiresti Vale",0,459,"NULL"
12411,106,498,"ROAG_102614_01","Dragomiresti Deal",0,2422,"NULL"
12412,106,498,"ROAG_102614_02","Zurbaua",0,995,"NULL"
12413,106,498,"ROAG_151807","Alexandria",0,6815,"NULL"
12414,106,498,"ROAG_151889","Rosiori de Vede",905,9683,"NULL"
12415,106,498,"ROAG_151692","Turnu Magurele",313,2662,"NULL"
12416,106,498,"ROAG_151987","Zimnicea",0,9721,"NULL"
12417,106,498,"ROAG_151914","Videle",0,6515,"NULL"
12418,106,498,"ROAG_153516","Orbeasca ",0,7625,"NULL"
12419,106,498,"ROAG_153552","Peretu ",0,6329,"NULL"
12420,106,498,"ROAG_153614","Plosca ",0,5900,"NULL"
12421,106,498,"ROAG_152181","Botoroaga",0,5899,"NULL"
12422,106,498,"ROAG_154843","Tiganesti ",0,4508,"NULL"
12423,106,498,"ROAG_152779","Dobrotesti",0,4605,"NULL"
12424,106,498,"ROAG_153286","Maldaeni ",0,4092,"NULL"
12425,106,498,"ROAG_151843","Poroschia ",0,4166,"NULL"
12426,106,498,"ROAG_152341","Buzescu",0,3922,"NULL"
12427,106,498,"ROAG_152911","Draganesti-Vlasca        ",0,4268,"NULL"
12428,106,498,"ROAG_152243","Bragadiru",0,2469,"NULL"
12429,106,498,"ROAG_154022","Scrioastea  ",0,3853,"NULL"
12430,106,498,"ROAG_153348","Marzanesti ",0,3885,"NULL"
12431,106,498,"ROAG_154594","Tatarestii de Jos",0,3779,"NULL"
12432,106,498,"ROAG_152092","Blejesti",0,3931,"NULL"
12433,106,498,"ROAG_151825","Nanov ",0,3586,"NULL"
12434,106,498,"ROAG_152957","Furculesti ",0,3063,"NULL"
12435,106,498,"ROAG_152573","Contesti",0,3479,"NULL"
12436,106,498,"ROAG_152369","Calinesti",0,3473,"NULL"
12437,106,498,"ROAG_153570","Piatra ",0,3392,"NULL"
12438,106,498,"ROAG_152537","Ciolanesti",0,3143,"NULL"
12439,106,498,"ROAG_154807","Troianul ",0,3048,"NULL"
12440,106,498,"ROAG_154503","Storobaneasa ",0,3101,"NULL"
12441,106,498,"ROAG_152626","Crangeni",0,2878,"NULL"
12442,106,498,"ROAG_153482","Olteni ",0,3271,"NULL"
12443,106,498,"ROAG_152519","Cervenia",0,3186,"NULL"
12444,106,498,"ROAG_153945","Salcia ",0,2659,"NULL"
12445,106,498,"ROAG_152047","Babaita            ",0,3032,"NULL"
12446,106,498,"ROAG_152047_01","Frasinet",0,2623,"NULL"
12447,106,498,"ROAG_153703","Poeni ",0,2668,"NULL"
12448,106,498,"ROAG_154861","Vedea ",0,1792,"NULL"
12449,106,498,"ROAG_153598","Pietrosani ",0,2941,"NULL"
12450,106,498,"ROAG_153302","Mereni ",0,3049,"NULL"
12451,106,498,"ROAG_154674","Tatarestii de Sus ",0,3031,"NULL"
12452,106,498,"ROAG_154763","Trivalea-Mosteni",0,2837,"NULL"
12453,106,498,"ROAG_153035","Galateni ",0,2967,"NULL"
12454,106,498,"ROAG_152261","Branceni",0,2881,"NULL"
12455,106,498,"ROAG_154941","Vartoape ",0,2980,"NULL"
12456,106,498,"ROAG_153259","Magura ",0,2811,"NULL"
12457,106,498,"ROAG_153115","Izvoarele ",0,2578,"NULL"
12458,106,498,"ROAG_153785","Vitanesti ",0,2854,"NULL"
12459,106,498,"ROAG_153071","Gratia ",0,2829,"NULL"
12460,106,498,"ROAG_153419","Nasturelu ",0,2619,"NULL"
12461,106,498,"ROAG_153213","Mavrodin ",0,2693,"NULL"
12462,106,498,"ROAG_153213_01","Nenciulesti ",0,2477,"NULL"
12463,106,498,"ROAG_152591","Cosmesti",0,2600,"NULL"
12464,106,498,"ROAG_152136","Bogdana",0,2493,"NULL"
12465,106,498,"ROAG_154479","Suhaia",0,2338,"NULL"
12466,106,498,"ROAG_154148","Seaca ",0,2270,"NULL"
12467,106,498,"ROAG_154291","Silistea-Gumesti ",0,2633,"NULL"
12468,106,498,"ROAG_154237","Silistea ",0,2513,"NULL"
12469,106,498,"ROAG_154237_01","Purani ",0,1524,"NULL"
12470,106,498,"ROAG_153838","Putineiu ",0,2371,"NULL"
12471,106,498,"ROAG_154399","Smardioasa ",0,2385,"NULL"
12472,106,498,"ROAG_152476","Calmatuiu de Sus            ",0,2282,"NULL"
12473,106,498,"ROAG_153008","Frumoasa",0,2203,"NULL"
12474,106,498,"ROAG_153133","Lisa ",0,2107,"NULL"
12475,106,498,"ROAG_152421","Calmatuiu",0,2188,"NULL"
12476,106,498,"ROAG_153874","Radoiesti ",0,2187,"NULL"
12477,106,498,"ROAG_152877","Draganesti de Vede        ",0,2154,"NULL"
12478,106,498,"ROAG_152001","Balaci",0,2034,"NULL"
12479,106,498,"ROAG_154530","Talpa",0,2055,"NULL"
12480,106,498,"ROAG_154424","Stejaru ",0,1968,"NULL"
12481,106,498,"ROAG_154923","Viisoara",0,1889,"NULL"
12482,106,498,"ROAG_154077","Scurtu Mare ",0,1838,"NULL"
12483,106,498,"ROAG_152804","Dracsenei",0,1791,"NULL"
12484,106,498,"ROAG_152804_01","Beuca",0,1371,"NULL"
12485,106,498,"ROAG_154745","Traian ",0,1902,"NULL"
12486,106,498,"ROAG_152323","Bujoru",0,1765,"NULL"
12487,106,498,"ROAG_152671","Crangu",0,1467,"NULL"
12488,106,498,"ROAG_152671_01","Dracea",0,1358,"NULL"
12489,106,498,"ROAG_100530","Giurgiu ",452,14575,"NULL"
12490,105,498,"ROAG_100558","Slobozia",0,2377,"NULL"
12491,106,498,"ROAG_101207","Bolintin Vale",0,9567,"NULL"
12492,106,498,"ROAG_104145","Mihailesti",0,1616,"NULL"
12493,106,498,"ROAG_102810","Floresti-Stoienesti",0,8834,"NULL"
12494,106,498,"ROAG_104840","Roata De Jos",0,7384,"NULL"
12495,106,498,"ROAG_105632","Ulmi",0,7568,"NULL"
12496,106,498,"ROAG_102115","Comana",0,7222,"NULL"
12497,106,498,"ROAG_100790","Adunatii Copaceni",0,6619,"NULL"
12498,106,498,"ROAG_101172","Bolintin Deal",0,5921,"NULL"
12499,106,498,"ROAG_101671","Calugareni",0,6148,"NULL"
12500,106,498,"ROAG_105883","Varasti",0,5854,"NULL"
12501,106,498,"ROAG_102918","Fratesti",0,5361,"NULL"
12502,106,498,"ROAG_103247","Ghimpati",0,5601,"NULL"
12503,106,498,"ROAG_103096","Gaiseni",0,5514,"NULL"
12504,106,498,"ROAG_101010","Baneasa",0,5187,"NULL"
12505,106,498,"ROAG_102357","Crevedia Mare",0,4990,"NULL"
12506,106,498,"ROAG_105981","Vanatorii Mici",0,4620,"NULL"
12507,106,498,"ROAG_104494","Ogrezeni",0,4583,"NULL"
12508,106,498,"ROAG_104699","Prundu",0,1447,"NULL"
12509,106,498,"ROAG_101626","Buturugeni",0,3952,"NULL"
12510,106,498,"ROAG_101387","Bucsani",0,3745,"NULL"
12511,106,498,"ROAG_103906","Izvoarele",0,3871,"NULL"
12512,106,498,"ROAG_103648","Hotarele ",0,3614,"NULL"
12513,106,498,"ROAG_103648_01","Herasti",0,2223,"NULL"
12514,106,498,"ROAG_103648_02","Isvoarele",0,1751,"NULL"
12515,106,498,"ROAG_101993","Clejani",0,3384,"NULL"
12516,106,498,"ROAG_102080","Colibasi",0,3478,"NULL"
12517,106,498,"ROAG_103416","Gradinari",0,3254,"NULL"
12518,106,498,"ROAG_102455","Daia",0,2758,"NULL"
12519,106,498,"ROAG_103201","Gaujani",0,2513,"NULL"
12520,106,498,"ROAG_103363","Gostinu",0,2032,"NULL"
12521,106,498,"ROAG_103381","Gostinari",0,2578,"NULL"
12522,106,498,"ROAG_103489","Greaca",0,2361,"NULL"
12523,106,498,"ROAG_104001","Joita  ",0,3318,"NULL"
12524,106,498,"ROAG_104001_01","Sabareni",0,2585,"NULL"
12525,106,498,"ROAG_104001_02","Cosoba",0,2415,"NULL"
12526,106,498,"ROAG_104056","Letca Noua",0,3465,"NULL"
12527,106,498,"ROAG_104127","Mihai Bravu",0,2503,"NULL"
12528,106,498,"ROAG_104234","Marsa",0,2723,"NULL"
12529,106,498,"ROAG_104528","Oinacu",0,3357,"NULL"
12530,106,498,"ROAG_105115","Singureni",0,3073,"NULL"
12531,106,498,"ROAG_105785","Valea Dragului",0,2965,"NULL"
12532,106,498,"ROAG_105302","Stanesti",0,2909,"NULL"
12533,106,498,"ROAG_105918","Vedea ",0,2880,"NULL"
12534,106,498,"ROAG_105918_01","Malu",0,2376,"NULL"
12535,106,498,"ROAG_104724","Putineiu",0,2486,"NULL"
12536,106,498,"ROAG_104797","Rasuceni",0,2363,"NULL"
12537,106,498,"ROAG_154718","Toporu",0,2163,"NULL"
12538,106,498,"ROAG_105357","Stoenesti",0,2074,"NULL"
12539,106,498,"ROAG_103318","Gogosari",0,1967,"NULL"
12540,106,498,"ROAG_104984","Schitu ",0,1918,"NULL"
12541,106,498,"ROAG_103700","Iepuresti",0,1885,"NULL"
12542,106,498,"ROAG_101528","Bulbucata",0,1400,"NULL"
12543,106,498,"ROAG_179132","Bucuresti ",2003,300475,"NULL"
12544,106,498,"ROAG_13178","Pitesti ",183,4585,"NULL"
12545,105,498,"ROAG_13196","Bascov",0,8161,"NULL"
12546,105,498,"ROAG_13285","Bradu",0,5631,"NULL"
12547,105,498,"ROAG_13374","Maracineni",0,2804,"NULL"
12548,105,498,"ROAG_13409","Stefanesti",0,11877,"NULL"
12549,105,498,"ROAG_14860","Budeasa",0,3001,"NULL"
12550,105,498,"ROAG_17110","Merisani",0,4569,"NULL"
12551,105,498,"ROAG_17218","Micesti",0,4377,"NULL"
12552,105,498,"ROAG_15126","Calinesti",0,10872,"NULL"
12553,105,498,"ROAG_16515","Draganu",0,1843,"NULL"
12554,106,498,"ROAG_13506","Campulung",21,14575,"NULL"
12555,105,498,"ROAG_13533","Valea Mare Pravat",0,4006,"NULL"
12556,105,498,"ROAG_16917","Leresti",0,3242,"NULL"
12557,106,498,"ROAG_13631","Curtea de Arges ",0,14312,"NULL"
12558,105,498,"ROAG_13828","Albestii de Arges",0,5456,"NULL"
12559,105,498,"ROAG_14174","Baiculesti",0,5826,"NULL"
12560,105,498,"ROAG_19702","Valea Iasului",0,2533,"NULL"
12561,106,498,"ROAG_13310","Mioveni ",0,2247,"NULL"
12562,105,498,"ROAG_16294","Davidesti",0,2950,"NULL"
12563,106,498,"ROAG_13766","Topoloveni",0,21709,"NULL"
12564,105,498,"ROAG_14370","Beleti-Negresti",0,1863,"NULL"
12565,105,498,"ROAG_14593","Bogati",0,4636,"NULL"
12566,105,498,"ROAG_16766","Leordeni",0,5645,"NULL"
12567,105,498,"ROAG_18251","Priboieni",0,3502,"NULL"
12568,106,498,"ROAG_13677","Costesti",0,8153,"NULL"
12569,105,498,"ROAG_14977","Buzoesti",0,4976,"NULL"
12570,106,498,"ROAG_18536","Rucar",0,5752,"NULL"
12571,106,498,"ROAG_18787","Stalpeni",0,4132,"NULL"
12572,105,498,"ROAG_19347","Titesti",0,4931,"NULL"
12573,106,498,"ROAG_16748","Izvoru",0,5284,"NULL"
12574,105,498,"ROAG_18420","Recea",0,2992,"NULL"
12575,106,498,"ROAG_18518","Serbanesti",0,5050,"NULL"
12576,106,498,"ROAG_129255","Serbanesti",0,3179,"NULL"
12577,105,498,"ROAG_18484","Rociu",0,1718,"NULL"
12578,105,498,"ROAG_19016","Suseni",0,3149,"NULL"
12579,106,498,"ROAG_18750","Slobozia",0,4619,"NULL"
12580,106,498,"ROAG_18689","Schitu Golesti",0,4528,"NULL"
12581,106,498,"ROAG_17860","Pietrosani",0,4284,"NULL"
12582,106,498,"ROAG_15910","Cosesti ",0,3991,"NULL"
12583,106,498,"ROAG_13944","Albota",0,4046,"NULL"
12584,105,498,"ROAG_17502","Mosoaia",0,4409,"NULL"
12585,106,498,"ROAG_14469","Barla",0,4606,"NULL"
12586,106,498,"ROAG_20000","Vladesti",0,3483,"NULL"
12587,105,498,"ROAG_14281","Balilesti",0,4105,"NULL"
12588,106,498,"ROAG_17263","Mihaesti ",0,3438,"NULL"
12589,106,498,"ROAG_16463","Domnesti",0,3120,"NULL"
12590,106,498,"ROAG_14931","Bughea de Jos",0,2862,"NULL"
12591,106,498,"ROAG_18037","Poiana Lacului",0,2840,"NULL"
12592,106,498,"ROAG_17833","Oarja",0,2811,"NULL"
12593,106,498,"ROAG_17405","Mirosi ",0,2694,"NULL"
12594,105,498,"ROAG_15073","Caldararu",0,2562,"NULL"
12595,106,498,"ROAG_19123","Stefan cel Mare",0,2066,"NULL"
12596,106,498,"ROAG_18947","Stolnici",0,3382,"NULL"
12597,106,498,"ROAG_18867","Stoenesti",0,2595,"NULL"
12598,106,498,"ROAG_14977_01","Cornatel ",0,999,"NULL"
12599,106,498,"ROAG_17584","Mozaceni",0,2242,"NULL"
12600,106,498,"ROAG_17263_01","Draghici ",0,1034,"NULL"
12601,106,498,"ROAG_15750","Corbeni ",0,3991,"NULL"
12602,105,498,"ROAG_14067","Arefu",0,2405,"NULL"
12603,106,498,"ROAG_16622","Harsesti",0,2350,"NULL"
12604,106,498,"ROAG_16374","Darmanesti",0,3513,"NULL"
12605,106,498,"ROAG_15457","Cicanesti",0,2107,"NULL"
12606,106,498,"ROAG_14682","Boteni",0,2495,"NULL"
12607,106,498,"ROAG_15849","Corbi",0,2123,"NULL"
12608,106,498,"ROAG_14003","Aninoasa",0,3180,"NULL"
12609,106,498,"ROAG_14414","Berevoesti ",0,3327,"NULL"
12610,106,498,"ROAG_14762","Bradulet",0,1456,"NULL"
12611,106,498,"ROAG_13917","Albesti de Muscel ",0,1578,"NULL"
12612,106,498,"ROAG_14094","Babana",0,2820,"NULL"
12613,106,498,"ROAG_16436","Dobresti",0,1808,"NULL"
12614,106,498,"ROAG_16668","Hartiesti",0,2165,"NULL"
12615,106,498,"ROAG_17977","Poienarii de Muscel",0,3299,"NULL"
12616,106,498,"ROAG_19640","Valea Danului",0,2231,"NULL"
12617,106,498,"ROAG_19800","Vedea",0,2215,"NULL"
12618,106,498,"ROAG_15242","Cateasca",0,4006,"NULL"
12619,106,498,"ROAG_15411","Cetateni",0,3057,"NULL"
12620,106,498,"ROAG_15689","Cocu",0,2420,"NULL"
12621,106,498,"ROAG_15992","Cotmeana",0,2148,"NULL"
12622,106,498,"ROAG_16338","Dambovicioara",0,943,"NULL"
12623,106,498,"ROAG_16481","Dragoslavele",0,2613,"NULL"
12624,106,498,"ROAG_16560","Godeni",0,3037,"NULL"
