ReportNetEnvelopeFileId,flarepCode,aggCode,aggName,flaggComments,flaggEUFund,flaggEUFundName,flaggExpecDateCompletion,flaggExpecDateStart,flaggExpecDateStartWork,flaggExpLoad,flaggExpLoadColl,flaggExpLoadIAS,flaggInv,flaggLoan,flaggLoanName,flaggMeasures,flaggOtherFund,flaggOtherFundName,flaggReasons,flaggStatus
48040,SK7,SKA3020678,Pruske,,7.074,CF,20231231,20191231,20210601,,,,7.86,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA6060535,Radzovce,,9.032208,CF,20251231,20211231,20220101,,,,9.507587,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA5070485,Novot,,,,20211231,20200630,20200701,,,,0.032,,,building of a collecting system,0.032,own financial resources,reduction of IAS,C
48040,SK7,SKA5070491,Oravska Jasenica,,1.962334,CF,20271231,20211231,20220101,,,,2.065615,,,building of a collecting system,,,reduction of IAS,C
48178,CY 2019 Art.17,CY306-Agglo,Derynia,-,3.53,CF,20130907,20110511,20110623,,100,0,5.1769,,,Building of a Treatment Plant,,,Absence of Collection and IAS,NC
48040,SK7,SKA3080375,Belusa,,8.19,CF,20251231,20211231,20230401,,,,9.1,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA5110503,Rajecke Teplice,,4.818676,CF,20271231,20211231,20220101,,,,5.07229,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA2040277,Ostrov - okr. Piestany,,,,20271231,20211231,20220101,,,,0.2,,,building of a collecting system,0.2,public funds,reduction of IAS,C
48040,SK7,SKA1070016,Pezinok,,,,20251231,20200831,20200901,,,,2.825739,,,building of a collecting system,2.825739,public funds,reduction of IAS,C
48040,SK7,SKA6070541,Poltar,,4.659115,CF,20271231,20211231,20220101,,,,4.904332,,,building of a collecting system,,,reduction of IAS,C
48040,SK7,SKA3060053,Povazska Bystrica,,5.104057,CF,20241231,20211231,20220101,,,,6.203957,,,building of a collecting system,,,reduction of IAS,C
48040,SK7,SKA8100643,Bystrany,,3.504782,CF,20271231,20190531,20231201,,,,3.689242,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA8010648,Richnava,,3.693322,CF,20271231,20211231,20220101,,,,3.887707,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA8080639,Rochovce,,5.986559,CF,20240430,20201231,20211001,,,,6.651733,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA8100647,Spisske Vlachy,,10.925,CF,20271231,20211231,20220101,,,,11.5,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA8110656,Streda nad Bodrogom,,6.439688,CF,20240430,20211231,20220101,,,,6.778619,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA6070538,Cinobana,,3.589785,CF,20271231,20211231,20220101,,,,3.98865,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA4040429,Strekov,,3.089631,CF,20271231,20211231,20220101,,,,3.252244,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA8010607,Prakovce,,4.578365,CF,20241231,20211231,20220101,,,,4.819331,,,building of a collecting system,,,reduction of IAS,C
48040,SK7,SKA3070363,Diviaky nad Nitricou,,9.8694,CF,20231231,20200630,20210101,,,,10.966,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA5110516,Divina,,,,20271231,20211231,20220101,,,,25.759,,,building of a collecting system,25.759,own financial resources,absence of collection system,NC
48040,SK7,SKA5110508,Dolny Hricov,,0.503609,CF,20271231,20211231,20220101,,,,0.530115,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA2070308,Sucha nad Parnou,,0.415471,CF,20271231,20211231,20220101,,,,0.437338,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA4040428,Svodin,,8.55,CF,20241231,20161231,20220101,,,,9,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA7070582,Siroke,,2.714171,CF,20271231,20211231,20220101,,,,2.857022,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA7080187,Sabinov,,,,20231231,20211231,20220101,,,,0.45,,,building of a collecting system,0.45,public funds,reduction of IAS,C
48040,SK7,SKA1080019,Senec,,2.375,CF,20221231,20201130,20210101,,,,2.5,,,building of a collecting system,,,reduction of IAS,C
48040,SK7,SKA6110515,Sliac,,0.251843,CF,20271231,20211231,20220101,,,,0.265097,,,building of a collecting system,,,reduction of IAS,C
48040,SK7,SKA5110507,Terchova,,0.855468,CF,20271231,20211231,20220101,,,,0.900493,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA4040425,Dolny Ohaj,,12.61325,CF,20271231,20211231,20220101,,,,13.277105,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA2070299,Smolenice,,2.094669,CF,20241231,20161231,20220101,,,,2.204915,,,building of a collecting system,,,reduction of IAS,C
48040,SK7,SKA2040280,Drahovce,,12.603775,CF,20271231,20110630,20211201,,,,13.267131,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA4040427,Gbelce,,8.320394,CF,20271231,20211231,20220101,,,,8.758309,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA6130554,Hlinik nad Hronom,,1.698026,CF,20271231,20211231,20220101,,,,1.886696,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA6090546,Tisovec,,,,20271231,20170731,20170801,,,,0.438711,,,building of a collecting system,0.438711,public funds,absence of collection system,NC
48040,SK7,SKA4020409,Tlmace,,1.9,CF,20271231,20211231,20220101,,,,2,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA7130603,Sol,,0.075833,CF,20271231,20211231,20220101,,,,0.079825,,,building of a collecting system,,,reduction of IAS,C
48040,SK7,SKA4040076,Sturovo,,1.091384,CF,20241231,20211231,20220101,,,,1.338049,,,building of a collecting system,0.189224,own financial resources,reduction of IAS,C
48040,SK7,SKA5110145,Varin,,0.142785,CF,20241231,20211231,20220101,,,,0.3453,,,building of a collecting system,0.195,public funds,reduction of IAS,C
48040,SK7,SKA6120550,Hodrusa - Hamre,,1.2825,CF,20271231,20211231,20220101,,,,1.35,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA2020268,Trstice,,0.448826,CF,20271231,20211231,20220101,,,,0.472449,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA7070581,Velky Saris,,,,20231231,20151126,20160101,,,,1.069404,,,building of a collecting system,1.069404,own financial resources,reduction of IAS,C
48032,EL_UWWTD_2020,EL42100201,ARCHAGHELOS,,4.08,Cohesion fund (CF),20271231,20221231,20231231,6284,100,0,4.8,,,Completion of needed studies. Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL12400201,ARIDEA,,3.6975,Cohesion fund (CF),20231231,20111231,20161231,6640,100,0,4.35,,,Construction of collecting system,,,Absence of collecting system,NC
48040,SK7,SKA7030563,Huncovce,,0.8455,CF,20271231,20051231,20060401,,,,0.89,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA3070352,Chrenovec - Brusno,,12.53888,CF,20231231,20161231,20210101,,,,13.932089,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA3060344,Udica,,5.175,CF,20271231,20241231,20250601,,,,5.75,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA3070361,Valaska Bela,,5.399858,CF,20271231,20211231,20220101,,,,5.999842,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA3010313,Velke Hoste,,2.732712,CF,20271231,20211231,20220101,,,,2.876539,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA1060233,Velke Levare,,10.975023,CF,20241231,20201231,20211201,,,,11.552656,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA1060232,Zavod,,2.663645,CF,20231231,20211231,20220101,,,,2.803837,,,building of a collecting system,,,reduction of IAS,C
48040,SK7,SKA4070084,Zlate Moravce,,,,20241231,20211231,20220101,,,,1.382533,,,building of a collecting system,1.382533,public funds,reduction of IAS,C
48040,SK7,SKA6120551,Zarnovica,,10.69507,CF,20271231,20211231,20220101,,,,11.883411,,,building of a collecting system,,,reduction of IAS,C
48040,SK7,SKA2040282,Chtelnica,,4.736455,CF,20241231,20181231,20220101,,,,4.985742,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA4030417,Velke Zaluzie,,12.806549,CF,20271231,20211231,20220101,,,,13.480578,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA2050290,Jablonica,,3.886257,CF,20231231,20190131,20220101,,,,4.090797,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA6080542,Jelsava,,0.219141,CF,20271231,20211231,20220101,,,,0.230675,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA2040283,Vesele,,10.49701,CF,20271231,20211231,20220101,,,,11.049483,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA7070583,Vitaz,,6.799888,CF,20231231,20211231,20220101,,,,7.157777,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA2010255,Vrakun,,,,20271231,20141231,20150101,,,,8.497921,,,building of a collecting system,8.497921,public funds,absence of collection system,NC
48040,SK7,SKA6070539,Kalinovo,,5.281999,CF,20271231,20181231,20220101,,,,5.868888,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA4010403,Zemianska Olca,,6.687098,CF,20241231,20211231,20220101,,,,7.039051,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA8060612,Kecerovce,,0.442686,CF,20271231,20211231,20220101,,,,0.465985,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA5030468,Zaskov,,14.25,CF,20241231,20211231,20220601,,,,15,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA4020408,Zeliezovce,,7.61832,CF,20241231,20211231,20220101,,,,8.019285,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA3010040,Banovce nad Bebravou,,,,20241231,20211231,20220101,,,,0.1747,,,building of a collecting system,0.1747,public funds,reduction of IAS,C
48040,SK7,SKA6020158,Banska Stiavnica,,,,20221231,20191031,20220101,,,,1.691869,,,building of a collecting system,1.691869,public funds,reduction of IAS,C
48040,SK7,SKA6090545,Klenovec,,0.545229,CF,20271231,20211231,20220101,,,,0.573925,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA1080243,Bernolakovo,,0.31135,CF,20221231,20211231,20220101,,,,0.327737,,,building of a collecting system,,,reduction of IAS,C
48040,SK7,SKA4040438,Kmetovo,,1.114802,CF,20271231,20211231,20220101,,,,1.173476,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA6070540,Kokava nad Rimavicou,,5.045264,CF,20271231,20211231,20220101,,,,5.605848,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA4010068,Kolarovo,,3.6,CF,20271231,20211231,20220101,,,,4,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA2050288,Borsky Mikulas,,,,20211231,20200531,20210101,,,,0.345,,,building of a collecting system,0.345,own financial resources,reduction of IAS,C
48040,SK7,SKA5020092,Cadca,,,,20231231,20211231,20220101,,,,4.086,,,building of a collecting system,4.086,own financial resources,reduction of IAS,C
48040,SK7,SKA3040331,Cachtice,,,,20210228,20201031,20201101,,,,0.11,,,building of a collecting system,0.11,own financial resources,reduction of IAS,C
48040,SK7,SKA4040431,Komjatice,,16.435,CF,20271231,20211231,20220101,,,,17.3,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA2040274,Krakovany,,5.4055,CF,20241231,20211231,20220101,,,,5.69,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA5040464,Kysucky Lieskovec,,4.127189,CF,20271231,20211231,20220101,,,,4.344409,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA8060219,Cana,,,,20271231,20211231,20220101,,,,0.219155,,,building of a collecting system,0.219155,public funds,reduction of IAS,C
48040,SK7,SKA6060161,Filakovo,,,,20271231,20211231,20220101,,,,4.862884,,,building of a collecting system,4.862884,public funds,reduction of IAS,C
48040,SK7,SKA2010248,Gabcikovo,,15.837755,CF,20231231,20200229,20210101,,,,17.597505,,,building of a collecting system,,,reduction of IAS,C
47941,IE2018,IEAG_D0029,Enniscorthy,"As previously outlined, upgrade works have been completed at the Enniscorthy plant with a capacity upgrade to 26,200 p.e.
There have been delays to the network survey work due to limited contractor resources in this specialist area. This has had knock on delays to the completion of the detailed design. The ongoing detailed design for Enniscorthy has identified a higher level of complexity for this project than initially thought which has increased our original estimate for undertaking procurement (Very narrow streets with high archaeological potential, Interaction with OPW flood relief scheme, high levels of infiltration combined with resource constraints on the sewer surveying delayed the completion of the detailed design).  This has led to a revised start date of 17 December 2021 with a completion date of 09 September 2023, an adjustment of 7 months on the date advised in June.
Delays due to the impact of Covid19 have not been fully assessed yet.",,,20230909,20210609,20211217,,,,13.45,,,"Works completed - Significant upgrade works to SW-3 undertaken as part of WWTP Contract. Storm water overflows monitor installed. Data being reviewed to confirm performance.
Works ongoing -  Currently building and verifiying hydraulic model. Drainage Area Plan (DAP) to deliver outline designs of short (if required) and medium term measures. Design and procurement of collecting system upgrades.
Further works expected to include storm water removal and additional storage to cater for future growth and climate change.",,,"1% of the total volume of waste water generated discharged via storm water overflows.
One non compliant storm water overflow",NC
47941,IE2018,IEAG_D0052,Mallow,"Planning permission was granted on 6th December 2019. There are two relevant projects in Mallow required to deliver the Article 3 outcome, one relating to the collection network and one relating to the treatment plant (which includes some network elements required for compliance). Irish Water are currently undertaking scheduling exercise as part Revenue Control (RC) period 3 2020 to 2024. Once the scheduling exercise is complete a date for both Mallow projects will be confirmed. 
Delays due to the impact of Covid19 have not been fully assessed yet.",,,20231231,20200830,20210228,,,,15.91,,,"Work completed - Drainage Area Plan (DAP) and detailed design of the collecting system upgrades. Most significant overflow in the agglomeration monitored.
Further works - Removal of SWO's and trunk sewer network upgrades.",,,Excessive number of spills and volume of wastewater discharged without treatment,NC
47941,IE2018,IEAG_D0116,Roscommon,"Planning permission was granted for the pump stations in Roscommon in 2019 (In order to bring the agglomeration into compliance, works to storm overflows are required - Abandon (4 no), Upgrade (5 no), Relocate(3 no). In brief, the function of the pumping stations (and storage tanks) are to pump forward and/or to store the storm water so that the overflows are brought into compliance). Additional design and studies have been carried out which has shown that a longer length construction contract is required due to the complexity of the work (Very poor ground conditions (soft ground and high water table) resulting in requirement for piling of sewers. Very narrow streets. High levels of infiltration on existing system due to the poor conditions of sewer and the high water table. This impacted on the conclusion of the design). The additional design and extension to contract length has added 10 months on to the original completion date. The tender has issued to the market. The revised start date is now 03 May 2021 and the completion date is now 01 November 2022, an adjustment of 10 months on the date previously advised.
Delays due to the impact of Covid19 have not been fully assessed yet.",,,20221101,20201231,20210503,,,,29,,,"Work completed - Sewer & manhole rehabilitation. Drainage Area Plan (DAP) and detailed design complete. Installation of storm water overflows (SWO) monitors.
Further works - Construction of 2 new Pumping Stations including storage, new rising main from Pumping Station to the existing WWTP, upgrade of storm water storage tank, upgrade of pumping station, upgrade 5.6km of gravity sewers, abandon 4 SWOs, upgrade 5 SWOs, relocate 3 SWOs. Provide 3,000m3 flow balancing and storm storage, and associated pumping at existing WWTP.",,,Six non compliant stormwater overflows,NC
47480,LU100,LU_AGGL_502_01,Bissen,,0,nr,20190526,20100401,20160501,2280,100,0,2.711647,0,nr,closing of uwwtp of Bissen and connected to the uwwtp of Bleesbruck,0,nr,increase of the load,NC
47480,LU100,LU_AGGL_129_01,Wormeldange,,0,nr,20241231,20091218,20220101,2613,100,0,7.616856,0,nr,to be connected to uwwtp of Grevenmacher,0,nr,new requirements,NC
48040,SK7,SKA3080380,Lednicke Rovne,,8.6634,CF,20231231,20211231,20220401,,,,9.626,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA6030520,Helpa,,,,20271231,20211231,20220101,,,,1.808826,,,building of a collecting system,1.808826,public funds,reduction of IAS,C
48032,EL_UWWTD_2020,EL23101101,ASTAKOS,,1.326,Cohesion fund (CF),20231231,20130930,20140930,4458,100,0,1.56,,,Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL25200401,ASTROS,,3.1535,Cohesion fund (CF),20231231,20111231,20161231,7899,100,0,3.71,,,Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL24400501,ATALANTI,,,,20231231,20191231,20211231,4958,100,0,1.69,,,Construction of collecting system,1.69,National Funds/TRITSIS,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL30005201,AVLONAS,,2.4395,Cohesion fund (CF),20271231,20221231,20231231,5626,100,0,2.87,,,Completion of needed studies. Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL41100301,AYASSOS,,2.4565,Cohesion fund (CF),20231231,20111231,20161231,2293,100,0,2.89,,,Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL12204101,CHALKIDONA,,2.55,Cohesion fund (CF),20231231,20111231,20161231,3061,100,0,3,,,Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL300091011,CHALKOUTSI,,2.4395,Cohesion fund (CF),20271231,20221231,20231231,2447,100,0,2.87,,,Completion of needed studies. Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL42200301,CHORA ANDROS,,0.5185,Cohesion fund (CF),20201231,20111231,20161231,2703,100,0,0.61,,,Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL23200701,DIAKOPTO,,7.14,Cohesion fund (CF),20251231,20191231,20211231,2339,100,0,8.4,,,Completion of needed studies. Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL241013011,DILESSI,,23.8085,Cohesion fund (CF),20251231,20191231,20211231,6950,100,0,28.01,,,Completion of needed studies. Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL30007601,DIONYSSOS,,5.695,Cohesion fund (CF),20231231,20111231,20161231,5544,100,0,6.7,,,Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL24400801,DOMOKOS,,0.4335,Cohesion fund (CF),20201231,20081231,20111231,2819,100,0,0.51,,,Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL24200401,DROSSIA,,2.346,Cohesion fund (CF),20231231,20111231,20161231,7078,100,0,2.76,,,Construction of collecting system,,,Absence of collecting system,NC
48040,SK7,SKA3080376,Lysa pod Makytou,,,,20271231,20191231,20220101,,,,2.181363,,,building of a collecting system,2.181363,public funds,absence of collection system,NC
48040,SK7,SKA7010557,Malcov,,5.784989,CF,20240430,20110228,20211001,,,,6.427766,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA6090544,Hnusta,,3.8,CF,20271231,20211231,20220101,,,,4,,,building of a collecting system,,,reduction of IAS,C
48040,SK7,SKA3050339,Chynorany,,0.85025,CF,20221231,20211231,20220101,,,,0.895,,,building of a collecting system,,,reduction of IAS,C
48040,SK7,SKA4040437,Banov,,8.252322,CF,20271231,20211231,20220101,,,,9.538879,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA4010399,Batorove Kosihy,,7.088549,CF,20211231,20190630,20210701,,,,7.46163,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA5110511,Bela - okr. Zilina,,1.179435,CF,20271231,20211231,20220101,,,,1.24151,,,building of a collecting system,,,absence of collection system,NC
48032,EL_UWWTD_2020,EL115004021,POTOS,,1.1475,Cohesion fund (CF),20231231,20170615,20151231,2369,100,0,1.35,,,Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL11500408,PRINOS,,2.7625,Cohesion fund (CF),20271231,20221231,20231231,3905,100,0,3.25,,,Completion of needed studies. Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL24201901,PSACHNA,,8.3895,Cohesion fund (CF),20231231,20111231,20161231,7101,100,0,9.87,,,Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL30006701,RAFINA,,59.347,Cohesion fund (CF),20251231,20191231,20211231,18000,100,0,69.82,,,Completion of needed studies. Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL23201801,RODODAFNI,,7.14,Cohesion fund (CF),20251231,20191231,20211231,2537,100,0,8.4,,,Completion of needed studies. Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL12601601,RODOLIVOS,,0.425,Cohesion fund (CF),20271231,20221231,20231231,2074,100,0,0.5,,,Completion of needed studies. Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL30008901,RODOPOLI,,5.695,Cohesion fund (CF),20231231,20111231,20161231,2036,100,0,6.7,,,Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL11300701,SAPES,,0.595,Cohesion fund (CF),20231231,20081231,20161231,3287,100,0,0.7,,,Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL30009001,SARONIDA,,19.9495,Cohesion fund (CF),20271231,20221231,20231231,6000,100,0,23.47,,,Completion of needed studies. Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL23201815,SELIANITIKA,,7.14,Cohesion fund (CF),20251231,20191231,20211231,2722,100,0,8.4,,,Completion of needed studies. Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL30011002,SELINIA,,3.961,Cohesion fund (CF),20231231,20111231,20161231,2509,100,0,4.66,,,Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL13301501,SIATISTA,,1.581,Cohesion fund (CF),20231231,20161231,20161231,5476,100,0,1.86,,,Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL12700708,SIMANTRA,,4.3265,Cohesion fund (CF),20231231,20111231,20161231,2402,100,0,5.09,,,Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL421021011,SKALA PATMOS,,,,20231231,20111231,20161231,3558,100,0,4.22,,,Construction of collecting system,4.22,National Funds/TRITSIS,Absence of collecting system,NC
48040,SK7,SKA8060619,Milhost,,7.162422,CF,20221231,20201231,20210101,,,,7.539392,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA1080242,Ivanka pri Dunaji,,0.960066,CF,20231231,20211231,20220101,,,,1.010596,,,building of a collecting system,,,reduction of IAS,C
48032,EL_UWWTD_2020,EL30007701,DROSSIA,,3.9525,Cohesion fund (CF),20231231,20111231,20161231,7078,100,0,4.65,,,Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL30006101,KOROPI,,8.5,Cohesion fund (CF),20231231,20111231,20130701,20000,100,0,10,,,Construction of collecting system,,,Absence of collecting system,NC
48032,EL_UWWTD_2020,EL25201301,LEVIDI,,4.8501,Cohesion fund (CF),20231231,20111231,20161231,2271,100,0,5.706,,,Construction of collecting system,,,Absence of collecting system,NC
49040,HR_Art17_2018,HRAG_0005077,Čačinci,,0.39,CF,20271231,20231231,20240331,2110,,,1,,,building or renewal of the collecting system and/or IAS,,,zero connection to sewer network,PD
49040,HR_Art17_2018,HRAG_0101339,Čakovec,,0,ERDF,20201231,20141231,20150131,86304,,,0.08,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,NC
49040,HR_Art17_2018,HRAG_0006011,Čazma,,0.58,CF,20271231,20231231,20240331,3754,,,0.96,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,PD
49040,HR_Art17_2018,HRAG_0201118,Čiovo,,20.34,CF,20241231,20200702,20200806,17529,,,30.99,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,NC
49040,HR_Art17_2018,HRAG_0007006,Dalj,,1.52,CF,20271231,20231231,20240331,4742,,,2.93,,,building or renewal of the collecting system and/or IAS,,,zero connection to sewer network,PD
49040,HR_Art17_2018,HRAG_0006012,Daruvar,,1.35,CF,20240430,20211231,20220331,17318,,,2.17,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,NC
49040,HR_Art17_2018,HRAG_0006013,Davor,,0.04,CF,20271231,20231231,20240331,2394,,,0.07,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,PD
49040,HR_Art17_2018,HRAG_0002163,Delnice,,0,CF,20210805,20200102,20200205,5087,,,3.27,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,PD
49040,HR_Art17_2018,HRAG_0101358,Dicmo,,3.29,CF,20271231,20231231,20240331,2173,,,5.33,,,building or renewal of the collecting system and/or IAS,,,zero connection to sewer network,PD
49040,HR_Art17_2018,HRAG_0005044,Donja Dubrava,,15.65,CF,20211119,20190819,20190923,11296,,,21.84,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,NC
