ReportNetEnvelopeFileId,flatpComments,flatpEUFund,flatpEUFundName,flatpExpCapacity,flatpExpecDateCompletion,flatpExpecDatePerformance,flatpExpecDateStart,flatpExpecDateStartWork,flatpExpecTreatment,flatpExpLoad,flatpExpLoadTruck,flatpInv,flatpLoan,flatpLoanName,flatpMeasures,flatpOtherFund,flatpOtherFundName,flatpReasons,flatpStatus,flarepCode,uwwCode,uwwName
48040,,3.42,CF,2355,20271231,20281231,20191231,20220101,3N,4690,,3.8,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO30703685142331,COV Nitrianske Rudno
48040,,,,770,20231231,20241231,20011231,20210101,2,2400,,1.517665,,,building of new WWTP,1.517665,public funds,absence WWTP,NC,SK7,SKCAO70705835249991,COV Ovcie
48040,,1.500653,CF,2633,20271231,20281231,20211231,20220101,3N,4120,,1.667392,,,building of new WWTP,,,new requirements,NC,SK7,SKCAO60305275089341,COV Predajna
48040,,1.44,CF,3200,20231231,20241231,20191231,20210601,3N,2800,,1.6,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO30206785135981,COV Pruske
48890,,,,55900,99991231,99991231,99991231,99991231,2,49458,,0,,,Fully compliant in 2019,,,Bad Performance,NC,UK5,UKSC_TP00109,KINNEIL KERSE WWTW
48040,,0.969295,CF,4500,20251231,20261231,20211231,20220101,3N,2720,,1.02031,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO60605355117901,COV Radzovce
48040,,0.6802,CF,3230,20271231,20281231,20211231,20220101,2,3230,,0.716,,,expanding of WWTP,,,bad operation,NC,SK7,SKCAO81006465435191,COV Rudnany
48040,,0.95,CF,2800,20271231,20281231,20211231,20220101,2,2510,,1,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO70705825252601,COV Siroke
48040,,1.2996,CF,2530,20271231,20281231,20211231,20220101,2,2530,,1.368,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO30103135055521,COV Sisov
48890,,,,3533,99991231,99991231,99991231,99991231,2,4365,,0,,,Fully compliant in 2019,,,Bad Performance,NC,UK5,UKSC_TP00133,MELROSE WWTW
48890,,,,2249,99991231,99991231,99991231,99991231,2,1841,,0,,,Fully compliant in 2019,,,Bad Performance,NC,UK5,UKSC_TP00208,NEWTONMORE WWTP
48890,,,,67000,20221201,20230601,20210101,20221201,2,55973,,26.45,,,Construction of treatment works,,,Lack of treatment works,NC,UK5,UKGIB_Agg00001,GIBRALTAR
48040,,2.375,CF,4500,20271231,20281231,20211231,20220101,3N,3490,,2.5,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO81006475435941,COV Spisske Vlachy
48040,,2.51889,CF,2200,20240430,20250430,20211231,20220101,3N,2260,,2.651463,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO81106565438021,COV Streda nad Bodrogom
48040,,,,2000,20240630,20250630,20211231,20220601,2,2920,,0.5,,,building of new WWTP,0.5,own financial resources,absence WWTP,NC,SK7,SKCAO40404295035501,COV Strekov
48040,,0.95,CF,2500,20241231,20251231,20191231,20210201,2,2470,,1,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO40404285035681,COV Svodin
48040,,2.025,CF,4500,20271231,20281231,20241231,20250601,3N,3970,,2.25,,,building of new WWTP,,,new requirements,NC,SK7,SKCAO30603445137414,COV Udica - nova
48040,,2.31417,CF,2300,20271231,20281231,20211221,20220101,3N,2110,,2.5713,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO30703615144201,COV Valaska Bela
48040,,1.582313,CF,4200,20271231,20281231,20211231,20220101,2,4220,,1.665593,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO40304175008871,COV Velke Zaluzie
48040,,0.708473,CF,2500,20231231,20241231,20211231,20220101,2,2400,,0.745761,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO70705835254131,COV Vitaz
48040,,1.71,CF,4430,20241231,20251231,20211231,20220101,3N,3050,,1.8,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO40104035014171,COV Zemianska Olca
48040,,2.7,CF,6756,20251231,20261231,20211231,20230401,3N,4950,,3,,,expanding and intensification of WWTP,,,increased overload,C,SK7,SKCAO30803755128511,COV Belusa
48040,,0.558,CF,2500,20271231,20281231,20211231,20220101,3N,2120,,0.62,,,intensification of WWTP,,,obsolescence,C,SK7,SKCAO60705385113151,COV Cinobana
48040,,,,4600,20271231,20281231,20161231,20170401,3N,3690,,0.191,,,intensification of WWTP,0.191,public funds,obsolescence,C,SK7,SKCAO30403315059011,COV Cachtice
48040,,0.2375,CF,2350,20271231,20281231,20211231,20220101,2,2660,,0.25,,,expanding of WWTP,,,new requirements,C,SK7,SKCAO61205505167591,COV Hodrusa - Hamre
48616,,,,1950,20181231,20191231,20171201,20180101,2,1950,,0.176943,,,Investicijsko vzdrževanje,,,Investcijsko vzdrževanje,NC,SI_2020_Art_17,SI_KCN_00121,UWWTP_ODRANCI
48616,,,,85000,20211231,20211231,20160301,20160301,3NP,85000,,1.35,,,Investicijsko vzdrževanje,,,Investicijsko vzdrževanje,C,SI_2020_Art_17,SI_KCN_00240,UWWTP_CELJE
48040,,,,4000,20221231,20231231,20211231,20220101,3N,2240,,0.582773,,,expanding of WWTP,0.582773,public funds,low capacity of WWTP,C,SK7,SKCAO30403335059941,COV Hradok
48040,,1.9,CF,4000,20271231,20281231,20211231,20220101,3N,5900,,2,,,expanding of WWTP,,,low capacity of WWTP,C,SK7,SKCAO40604505429711,COV Hrusovany
48040,,0.3135,CF,1500,20271231,20281231,20051231,20060401,2,2200,,0.33,,,expanding of WWTP,,,low capacity of WWTP,C,SK7,SKCAO70305635235261,COV Huncovce
48616,,,,16400,20201231,20201231,20161001,20161001,3NP,13913,,0.127185,,,Investicijsko vzdrževanje,,,Investicijsko vzdrževanje,C,SI_2020_Art_17,SI_KCN_00273,UWWTP_TRŽIČ
47948,Le traitement des effluents communaux de 450 EH est assure depuis aout 2019 par la STEU industrielle de la laiterie suivra le raccordement a la station des Charpillates  FR060000138130.,,,2150,20190831,20200831,20171231,20181231,3NP,2350,,0,,,Raccordement sur station principale de l’agglomeration,,,Sous dimensionnement – Mauvaises performances,NC,FRR1,FR060938159001,EYDOCHE
47948,Rehabilitation de la STEU finalisee fin 2018,,,2500,20181210,20191210,20141231,20180207,3NP,445,,0.07705,,,Rehabilitation de la station,,,Mauvaises performances,C,FRR1,FR060938186002,GRESSE-EN-VERCORS
47948,,,,18000,20201231,20211231,20160101,20161231,3N,8276,,0,,,Diagnostic reseaux suivi travaux de rehabilitation,,,rejet d'eaux urbaines non traitees dans la station,NC,FRR1,FR060938511001,LE TOUVET
47948,Rehabilitation et extension de la station et la regularisation des deversoirs d'orage et travaux sur le reseau,,,5100,20191231,20201231,20161231,20171231,2,3976,,0,,,Nouvelle station-travaux sur reseaux,,,Obsolescence et augmentation de la charge,C,FRR1,FR060938247001,MONTALIEU-VERCIEU
47941,"Refer to Ringaskiddy-Crosshaven-Carrigaline (IETP_D0057) for expenditure.
Scientific assessment is still on-going and not yet concluded. This review will confirm if there is a need for nutrient removal under Article 5(6) of the Directive. 
Decision on capital intervention will be made based on this assessment.
The load will become part of Ringaskiddy-Crosshaven-Carrigaline agglomeration and the load is therefore included and reported under the latter agglomeration / UWWTP.
Delays due to the impact of Covid19 have not been fully assessed yet.",,,65000,20211231,20221231,20150626,20150720,3N,0,,0,,,"Works completed - Construction of Shanbally WWTP is complete. 
Works ongoing - Construction of the network.",,,Absence of UWWTP,NC,IE2018,IETP_D0054,Cobh
47941,"Below the size threshold for mandatory compliance with Article 4 effluent quality standards in the previous reporting exercise (2016) but the estimate of agglomeration size increases above the threshold in 2018. 
Did not meet the mandatory effluent quality standards in 2018.
Delays due to the impact of Covid19 have not been fully assessed yet.",,,3500,20240125,20250125,20210714,20220630,2,1890,,18.79,,,"Works ongoing - Detailed design and Planning phase for a new WWTP with 3,500 PE capacity.",,,Absence of UWWTP,NC,IE2018,IETP_D0212,Moville
47948,,,,28000,20201231,20211231,20150101,20160101,3N,16368,,0,,,Travaux reseau,,,rejet d'eaux urbaines non traitees dans la station,NC,FRR1,FR060938314001,PONTCHARRA
47948,La rehabilitation de la station s’est achevee en 2018,,,98600,20191231,20201231,20140731,20160301,2,30327,,16,,,Rehabilitation de la station,,,Attente autosurveillance reglementaire sur nouvelle station,NC,FRR1,FR060938344001,ROUSSILLON PÉAGE DE ROUSSILLON
48616,,,,23000,20200101,20200101,20160101,20160101,3NP,23000,,0.238251,,,Investicijsko vzdrževanje,,,Investicijsko vzdrževanje,C,SI_2020_Art_17,SI_KCN_00277,UWWTP_LJUTOMER
48616,,,,4800,20211231,20211231,20160101,20160101,2,3360,,0.253945,,,Investicijsko vzdrževanje,,,Investicijsko vzdrževanje,C,SI_2020_Art_17,SI_KCN_00281,UWWTP_BRESTANICA
48040,,1.045,CF,3000,20221231,20231231,20211231,20220101,3N,2210,,1.1,,,expanding of WWTP,,,low capacity of WWTP,C,SK7,SKCAO30503395430041,COV Chynorany
48040,,0.19,CF,5200,20241231,20251231,20211231,20220101,3N,4230,,0.2,,,expanding of WWTP,,,low capacity of WWTP,C,SK7,SKCAO70805885246031,COV Jarovnice
48040,,1.442545,CF,3226,20230430,20240430,20201231,20211001,3N,2080,,1.602827,,,intensification of WWTP,,,obsolescence,C,SK7,SKCAO70205625203311,COV Kamenica nad Cirochou
48040,,2.273684,CF,2500,20271231,20281231,20211231,20220101,3N,2160,,2.526315,,,intensification of WWTP,,,obsolescence,C,SK7,SKCAO60705405114981,COV Kokava nad Rimavicou
48040,,0.95,CF,7000,20271231,20281231,20211231,20220101,2,7280,,1,,,expanding of WWTP,,,low capacity of WWTP,C,SK7,SKCAO40404315032821,COV Komjatice
48040,,3.051211,CF,4000,20230430,20240430,20211231,20221001,3N,2020,,3.58966,,,expanding of WWTP,,,new requirements,C,SK7,SKCAO80406095990181,COV Kosicka Nova Ves
48040,,3.852,CF,12500,20261231,20271231,20211231,20220101,3NP,7220,,4.28,,,expanding of WWTP,,,low capacity of WWTP,C,SK7,SKCAO81006505432681,COV Krompachy
48040,,1.151196,CF,4500,20231231,20241231,20161231,20210101,2,3720,,1.279107,,,intensification of WWTP,,,obsolescence,C,SK7,SKCAO30703605141361,COV Lehota pod Vtacnikom
48040,,0.855,CF,3750,20231231,20241231,20211231,20230101,3N,3110,,0.9,,,expanding of WWTP,,,low capacity of WWTP,C,SK7,SKCAO40304145005771,COV Mojmirovce
48040,,,,5034,20241231,20251231,20211231,20220101,3N,3830,,0.14627,,,intensification of WWTP,0.14627,public funds,obsolescence,C,SK7,SKCAO20502915045721,COV Moravsky Svaty Jan
48040,,0.197588,CF,2600,20241231,20251231,20211231,20220101,3N,2130,,0.207987,,,reconstruction of WWTP,,,obsolescence,C,SK7,SKCAO80106065433731,COV Nalepkovo
48040,,1.492566,CF,3600,20211231,20221231,20190630,20210701,2,3320,,1.571122,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO40103995013951,COV Batorove Kosihy
48040,,0.977714,CF,3600,20271231,20281231,20190630,20230101,2,3510,,1.029173,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO81006435264361,COV Bystrany
47948,,,,33000,20191231,20201231,20170101,20180101,3NP,44522,,0,,,Etude diagnostique station et reseau suivi de travaux,,,Mauvaises performances,NC,FRR1,FR0442094S0002,Feurs - Font Fenouillet
47948,,,,2800,20211231,20221231,20181231,20191231,3N,3213,,0,,,"Travaux reseaux, etude nouvelle station",,,Mauvaises performances – Rejet d’eaux usees non traitees a la station,NC,FRR1,FR0442177S0001,POUILLY-SOUS-CHARLIEU - Le Port
47948,Rehabilitation de la station achevee debut octobre 2016. Travaux reseau en cours conformement a l'echeancier prevu par arrete prefectoral de 2019.,,,4000,20210630,20220630,20130523,20141001,3NP,2403,,3.0186,,,Nouvelle station et travaux sur les reseaux,,,Augmentation de la charge et mauvaises performances,NC,FRR1,FR0463413S0001,LA SAUVETAT Bourg
47948,Nouvelle station programmee (dossier administratif depose) du fait d’une surcharge hydraulique permanente. Des travaux sont en cours sur le reseau,,,4000,20191231,20201231,20171231,20181231,3NP,3608,,0,,,"Travaux reseau, nouvelle station",,,Station obsolete – Problematique des eaux claires parasites,NC,FRR1,FR0463052S0001,LE BREUIL-SUR-COUZE
47948,Les travaux de la nouvelle station ont commence en juin 2019.,,,5000,20201231,20211231,20171231,20190630,3NP,3455,,0,,,Nouvelle station,,,rejet d'eaux urbaines non traitees dans la station,NC,FRR1,FR0463393S0002,SAINT-REMY-SUR-DUROLLE
47948,,,,3000,20231231,20241231,20191231,20200101,3NP,1632,,0.97,,,"Travaux reseau, nouvelle staion",,,Surcharge hydraulique,NC,FRR1,FR060969018001,BEAUJEU
47948,Rehabilitation de la station achevee en 2018,,,5000,20180430,20190430,20161231,20170401,3NP,1947,,3.907,,,Rehabilitation de la station,,,Surcharge hydraulique,C,FRR1,FR060969171001,SAIN BEL
47948,Agglomeration sous le coup d’une mise en demeure du 24/08/2018. Transfert de competence a une autre collectivite en 2020 d’ou difficulte obtention programme et echeancier de travaux.,,,5800,20221231,20231231,20201231,20211231,2,6130,,0.936432,,,Etude diagnostique en cours. Reduction des eaux claires parasites. Maîtrise de la charge organique,,,Surcharge hydraulique et organique,NC,FRR1,FR060969201003,SAINTE-FOY-L'ARGENTIERE
47948,"Station conforme en 2016 mais non conforme en performances en 2018. Des travaux d'amenagement sont prevus sur la station (coût inconnu, dossier en cours d'instruction).",,,7950,20251231,20261231,20110801,20211231,3N,3247,,1.922428,,,Rehabilitation de la station,,,Obsolescence,NC,FRR1,FR060969207001,ST GERMAIN AU MONT D'OR
48032,,3.689,Cohesion fund (CF),8600,20221231,20231231,20161231,20201231,3Nm,6640,,4.34,,,Construction of UWWTP,,,Absence of UWWTP,NC,EL_UWWTD_2020,EL_nocode_8,ARIDEA
49199,,2.067624,CF,2000,20231231,20241231,20201231,20211231,2,2200,0,2.067624,,,New WWTP in Nimigea de Jos,,,Absence of WWTP,NC,RO07,ROWP_33998_01_virtual,ROWP Nimigea
48032,,7.225,Cohesion fund (CF),10300,20221231,20231231,20161231,20201231,3NP,9200,,8.5,,,Restoration of the UWWTP.,,,The UWWTP is temporary inactive.,NC,EL_UWWTD_2020,EL1140020410,DOXATO
47948,Expertise technique d’IRSTEA en 2019 pour determiner les actions a mettre en oeuvre pour ameliorer le fonctionnement de la station. Suite a cette expertise des travaux vont etre entrepris,,,12000,20211231,20221231,20190101,20200101,3NP,16951,,0,,,Entree d’eaux claires parasites Amelioration bassin tampon Travaux rehabilitation des reseaux,,,Mauvaises performances - Surcharge hydraulique,NC,FRR1,FR0533238V001,LEOGNAN
47948,,,,30000,20211231,20221231,20121231,20131231,3N,44646,,34.2,,,Travaux sur station et reseau,,,rejet d'eaux urbaines non traitees dans la station,NC,FRR1,FR0533243V001,LIBOURNE
48032,,1.445,Cohesion fund (CF),2600,20241231,20251231,20191231,20211231,3Nm,2021,,1.7,,,Construction of UWWTP,,,Absence of UWWTP,NC,EL_UWWTD_2020,EL_nocode_14,EANI
48032,,4.59,Cohesion fund (CF),5600,20221231,20231231,20161231,20201231,3Nm,4304,,5.4,,,Construction of UWWTP,,,Absence of UWWTP,NC,EL_UWWTD_2020,EL_nocode_15,ERETRIA
48040,,1.154347,CF,1840,20271231,20281231,20211231,20220101,3N,4120,,1.282608,,,building of new WWTP,,,new requirements,C,SK7,SKCAO60305275088291,COV Nemecka
48040,,1.678803,CF,7500,20271231,20271231,20151231,20220101,3N,5070,,1.865337,,,reconstruction of WWTP,,,obsolescence,C,SK7,SKCAO40104025012801,COV Nesvady
48040,,2.455018,CF,3500,20221231,20231231,20161231,20220101,3N,3100,,2.58423,,,expanding of WWTP,,,low capacity of WWTP,C,SK7,SKCAO50704865099061,COV Oravska Lesna
49199,,0.35,EARDF,2500,20201231,20211231,20171231,20181231,2,4000,0,0.35,,,New WWTP in Sieu,,,Absence of WWTP,NC,RO07,ROWP_34654_01_virtual,ROWP Sieu
49199,,3.176956,CF,3500,20231231,20241231,20201231,20211231,2,3500,0,3.176956,,,New WWTP in Căianu Mic,,,Absence of WWTP,NC,RO07,ROWP_32820_01_virtual,ROWP Caianu Mic
48032,,4.3945,Cohesion fund (CF),6400,20221231,20231231,20161231,20201231,3Nm,4953,,5.17,,,Construction of UWWTP,,,Absence of UWWTP,NC,EL_UWWTD_2020,EL_nocode_9,ARNEA
48032,,70.55,Cohesion fund (CF),72200,20241231,20251231,20191231,20211231,3Nm,55500,,83,,,Construction of UWWTP,,,Absence of UWWTP,NC,EL_UWWTD_2020,EL_nocode_10,ARTEMIDA-RAFINA
48032,,2.652,Cohesion fund (CF),3000,20221231,20231231,20161231,20201231,3Nm,2293,,3.12,,,Construction of UWWTP,,,Absence of UWWTP,NC,EL_UWWTD_2020,EL_nocode_11,AYASSOS
48032,,1.853,Cohesion fund (CF),3500,20221231,20231231,20161231,20201231,3Nm,2717,,2.18,,,Construction of UWWTP,,,Absence of UWWTP,NC,EL_UWWTD_2020,EL_nocode_13,CHORISTI
48032,,2.431,Cohesion fund (CF),10300,20221231,20231231,20161231,20201231,3Nm,7911,,2.86,,,Construction of UWWTP,,,Absence of UWWTP,NC,EL_UWWTD_2020,EL_nocode_24,KARPATHOS
48040,,2.255014,CF,4241,20241231,20251231,20211231,20220101,2,3140,,2.373699,,,reconstruction of WWTP,,,obsolescence,C,SK7,SKCAO80106075434971,COV Prakovce
49199,,1.061686,CF,2000,20231231,20241231,20201231,20211231,2,2000,0,1.061686,,,New WWTP in Şieu Măgherus,,,Absence of WWTP,NC,RO07,ROWP_34707_01_virtual,ROWP Sieu Magherus
47948,Arrete prefectoral d’autorisation pour un programme de travaux sur reseau et station avec extension du systeme pris en septembre 2017. Les travaux de mise en conformite sont en cours,,,176000,20231231,20241231,20161231,20171231,3NP,83932,,0,,,Programme de travaux reseau et station,,,Rejet d'eaux urbaines non traitees dans la station – Surcharge hydraulique,NC,FRR1,FR060969264001,VILLEFRANCHE SUR SAONE
47948,,,,2900,20221231,20231231,20171231,20191231,3NP,2253,,2.122,,,"Travaux reseau, nouvelle station",,,Mauvaises performances et surcharge hydraulique,NC,FRR1,FR060969267001,VILLIE MORGON
47948,Raccordement des effluents sur la STEU d’Aix-les-Bains (FR060973008001) a ete privilegie.Realisation canalisation de transfert des effluents en 2020. Des travaux doivent etre realises sur le reseau pour reduire les eaux parasites.,,,70000,20201231,20211231,20171231,20181231,2,3726,,0,,,Raccordement sur autre station,,,Station vetuste -surcharge organique,NC,FRR1,FR060973010001,ALBENS
47948,,,,5000,20201231,20211231,20160101,20161231,2,2092,,0,,,"Autosurveillance reglementaire, amelioration de l’exploitation",,,Mauvaise exploitation – Autosurveillance insuffisante,NC,FRR1,FR060973013003,ALBIEZ-MONTROND
47948,Nouvelle station en eau en 2019.,,,80000,20191030,20201030,20160830,20170830,3m,72182,,0,,,Nouvelle station,,,Sous-dimensionnement,NC,FRR1,FR060973257001,les Menuires
47948,Reconstruction d’un steu unique pour Tignes le lac et Tignes Brevieres. A noter que l'on ne peut travailler que 6 mois dans l'annee compte tenu de l'altitude sur ce secteur.,,,50000,20211130,20221130,20151231,20190630,2,38395,,0,,,Reconstruction d’un station,,,Conception inadequate,NC,FRR1,FR060973296001,Tignes le Lac
47948,,,,50000,20211130,20221130,20151231,20190630,2,6262,,0,,,Reconstruction d’un station,,,Conception inadequate,NC,FRR1,FR060973296002,TIGNES LES BREVIERES
47948,Raccordement sur la station d’ALBERTVILLE-Gilly FR060973124001 effectif.,,,45000,20190831,20200831,20151231,20160701,2,22801,,0,,,"Rraccordement sur autre station, travaux sur reseau",,,Sous-dimensionnement,NC,FRR1,FR060973303001,UGINE
47948,"Raccordement prevu a la station de Scientrier (code sandre : FR060974220001), de l’agglomeration de Reignier (code sandre : 060000174220). Cette agglomeration sera clôturee pour 2021.",,,32000,20211231,20221231,20181231,20191231,3N,2124,,0,,,Raccordement a la station de Scientrier (code sandre : 060974220001),,,Mauvaises performances,NC,FRR1,FR060974140001,HABERE POCHE
47948,Arrete prefectoral pris pour mise en conformite en 2021,,,3500,20210411,20220411,20191231,20201231,2,4923,,0,,,Diagnostic reseau et procedure judiciaire avec constructeur,,,"Surcharge hydraulique, probleme sur la filiere membranaire",NC,FRR1,FR0533293V002,MONTUSSAN 2
47948,Nouvelle station dont la mise en service est prevue 1er semestre 2020,,,4000,20191201,20201201,20170731,20180501,2,3130,,1.9,,,Nouvelle station,,,Effluent non traite a la station-sous dimensionnement,NC,FRR1,FR0540243V001,RION DES LANDES
47948,,,,15000,20231231,20241231,20171231,20181231,3NP,11661,,13,,,Diagnostic reseau suivi de travaux reseau et station,,,Surcharge organique,NC,FRR1,FR0547070V002,CONDEZAYGUES
47948,"Nouvelle station prevue pour 2020, actee dans une mise en demeure",,,2420,20201201,20211201,20180601,20181201,3N,4088,,0,,,Nouvelle station,,,Mauvaises performances,NC,FRR1,FR0547203V001,PENNE D AGENAIS (CROQUELARDIT)
47948,"Echeancier travaux programme de 2016 a 2018 sur les reseaux et la station, Retard, travaux jusqu’en 2020.",,,10000,20201231,20211231,20160101,20161231,3N,9660,,0,,,Travaux sur reseau et station,,,Mauvaises performances – Rehabilitation steu,NC,FRR1,FR0547252V001,SAINTE LIVRADE SUR LOT
47948,Nouvelle station en cours. Systeme d’assainissement situe en zone rural du piemont pyreneen (reseau important avec peu d’abonnes),,,6925,20211231,20221231,20150201,20181231,3N,4266,,0,,,"Schema directeur d’assainissement, etude nouvelle station realisee",,,Surcharge hydraulique station,NC,FRR1,FR0564062V002,ARUDY (INTERCOMMUNALE)
48032,,,,2800,20181231,20191231,20161231,20171231,3NPm,2197,,0,,,Improvement of the operation of the UWWTP,,Own funds,Fail to meet the Directives' effluent standards.,NC,EL_UWWTD_2020,EL1120040219,ECHINOS
48032,,2.4565,Cohesion fund (CF),31500,20221231,20231231,20161231,20201231,3Nm,24231,,2.89,,,Upgrading UWWTP,,,The UWWTP is being upgraded to serve new agglomerations,C,EL_UWWTD_2020,EL212001012,IGOUMENITSA
48032,,0.34,Cohesion fund (CF),8000,20221231,20231231,20191231,20201231,3NPm,3742,,0.4,,,Improvement of the operation of the UWWTP,,,Lack of sufficient number of samples which meet the Directive's requirements,NC,EL_UWWTD_2020,EL2440150118,MALESSINA
48032,,,,31000,20221231,20231231,20161231,20201231,3Nm,10012,,0.92,,,Upgrading UWWTP,0.92,National Funds/TRITSIS,The UWWTP is being upgraded to serve new agglomerations,C,EL_UWWTD_2020,EL4210070212,KARDAMENA
48032,,,,16000,20201231,20211231,20161231,20171231,3Nm,9152,,2.2072,,,The main transfer pipe is bieng restored.,2.2072,National Funds/TRITSIS,The UWWTP is out of operation due to failure of the main tranfer pipe of sewage to the UWWTP.,NC,EL_UWWTD_2020,EL412001017,SAMOS
48032,,3.876,Cohesion fund (CF),9000,20221231,20231231,20191231,20201231,3m,6316,,4.56,,,Restoration of failure,,,Lack of sufficient number of samples which meet the Directive's requirements,NC,EL_UWWTD_2020,EL2420130124,KARYSTOS
48032,,,,20000,20181231,20191231,20161231,20171231,3NPm,7000,,0,,,Improvement of the operation of the UWWTP,,Own funds,Fail to meet the Directives' effluent standards.,NC,EL_UWWTD_2020,EL232008016,KATO ACHAIA
48032,,1.938,Cohesion fund (CF),3267,20241231,20251231,20191231,20211231,2,2225,,2.28,,,Restoration of the UWWTP.,,,The UWWTP is temporary inactive.,NC,EL_UWWTD_2020,EL1140040111,KATO NEVROKOPI
48032,,,,96000,20181231,20191231,20161231,20171231,3NPm,80000,,0,,,Improvement of the operation of the UWWTP,,Own funds,Fail to meet the Directives' effluent standards.,NC,EL_UWWTD_2020,EL115001016,KAVALA
48032,,,,5000,20221231,20231231,20161231,20201231,3N,2596,,1.21,,,Restoration of the UWWTP.,1.21,National Funds/TRITSIS,The UWWTP is not operational,NC,EL_UWWTD_2020,EL2510040111,LYGOURIO
